rmag,imag
23.912,23.782
23.093,21.657
26.512,26.033
23.368,23.165
23.627,23.069
24.308,24.072
25.012,24.959
25.275,24.854
21.825,21.693
22.967,22.774
25.931,23.891
25.752,25.543
23.628,23.148
26.509,26.119
25.749,25.394
22.492,22.182
26.913,26.721
11.437,11.317
24.501,23.919
23.833,22.038
26.019,25.176
22.197,22.15
24.826,24.405
21.652,21.569
24.119,22.764
20.172,19.91
22.465,22.359
21.189,20.946
22.731,22.643
26.959,26.589
26.238,25.888
22.096,21.847
26.146,25.733
24.883,24.701
26.539,26.029
23.04,22.935
25.115,23.363
19.93,19.849
20.368,19.4
19.99,19.931
24.439,24.332
26.087,23.706
25.45,23.134
20.557,20.08
22.756,22.672
25.408,25.28
23.204,22.934
25.029,22.557
24.835,24.623
25.225,24.782
19.773,18.069
19.234,18.161
26.565,26.14
22.706,22.468
25.98,25.57
23.479,23.155
26.125,25.474
18.629,18.457
23.965,23.752
17.528,17.123
24.045,22.824
23.892,23.742
24.252,23.956
22.96,22.579
10.67,10.7
26.661,26.441
22.706,21.842
23.96,23.619
25.953,25.264
26.546,26.105
23.044,22.685
24.13,23.997
25.014,24.51
22.764,22.474
20.742,20.647
24.417,24.169
26.511,25.945
26.26,25.866
21.089,20.262
26.912,26.409
22.821,22.233
26.078,25.493
25.968,25.366
24.768,24.312
24.065,23.802
26.702,25.984
22.724,22.278
23.621,23.519
25.634,25.493
26.018,24.585
25.251,24.844
26.766,26.568
24.499,24.198
25.103,24.816
24.356,24.266
25.044,24.523
24.055,23.01
26.609,26.103
26.199,25.646
26.494,26.158
16.482,16.292
17.387,16.534
23.19,23.123
25.066,24.919
22.89,22.828
22.309,21.129
24.454,22.555
24.751,22.291
25.938,25.701
20.841,20.722
24.214,21.726
26.797,26.2
20.591,20.36
26.115,25.855
26.664,26.475
26.429,25.998
25.79,25.291
17.475,17.304
24.813,24.303
21.846,21.009
24.232,23.778
26.255,26.165
25.812,25.704
22.442,21.606
25.558,25.03
24.702,22.526
26.887,26.666
25.739,25.318
25.798,25.539
22.004,21.904
24.743,24.357
25.737,25.326
15.529,15.382
25.652,25.216
21.973,21.705
24.911,24.696
26.458,26.202
20.55,19.656
22.938,22.069
23.546,23.496
16.967,16.884
25.449,25.033
23.308,23.078
26.855,26.523
21.698,20.646
23.832,23.515
26.975,26.439
25.791,25.511
22.842,22.456
23.536,23.42
25.364,24.473
26.426,25.948
21.985,21.616
24.164,23.997
25.657,25.59
24.801,24.173
21.786,21.574
25.255,25.153
25.991,25.595
25.608,25.453
23.974,22.853
26.412,25.958
26.499,25.893
24.635,24.181
25.188,24.683
25.619,25.486
25.082,23.464
24.561,23.217
18.959,17.551
25.132,22.862
24.37,22.809
23.4,23.135
21.133,20.921
24.918,24.505
23.327,23.132
22.963,22.629
22.633,22.236
20.408,20.347
25.98,25.539
24.253,23.705
26.188,25.703
25.07,24.886
24.262,24.119
25.288,24.83
23.195,22.919
26.446,25.817
26.384,26.092
25.466,25.178
23.822,23.378
26.195,24.677
25.802,25.507
26.944,26.655
22.761,22.499
23.645,22.775
24.961,24.252
22.914,21.677
25.294,24.904
26.04,25.49
23.722,22.922
26.977,26.706
22.61,22.413
21.524,20.467
24.226,23.855
26.772,26.172
23.566,22.427
24.346,23.997
20.683,20.307
23.627,23.394
25.493,25.173
20.204,20.12
20.631,20.545
21.504,21.438
23.688,22.814
26.545,25.655
18.366,18.124
26.843,26.36
22.654,22.503
26.183,25.972
18.744,18.544
25.075,24.492
26.32,25.964
26.122,25.046
23.164,22.747
25.407,24.959
22.915,21.601
26.347,25.946
24.9,24.711
26.072,25.831
26.475,25.731
24.427,24.084
18.491,18.074
25.527,25.097
22.42,22.063
24.893,24.81
26.701,26.571
26.692,26.506
20.436,20.143
21.299,20.249
24.376,24.085
21.504,20.051
23.937,21.594
23.881,23.532
25.451,25.236
26.177,25.965
20.877,20.491
20.399,19.252
23.523,21.328
26.875,26.355
26.909,26.459
25.79,25.429
25.696,25.421
21.11,20.48
24.553,23.942
23.439,21.061
24.732,24.269
26.457,25.754
21.326,20.929
21.181,19.905
22.149,21.958
25.995,25.555
22.42,22.224
26.154,25.713
15.509,15.334
23.09,22.59
26.027,25.531
24.852,24.208
24.073,22.858
21.961,21.758
26.404,25.0
23.136,21.301
26.0,25.869
20.916,20.719
24.683,24.576
25.58,24.694
20.836,20.54
21.66,20.578
25.97,25.291
26.778,24.215
20.451,19.086
25.461,24.029
26.279,25.81
24.541,24.251
25.997,24.011
21.694,21.625
11.723,11.55
24.085,23.698
23.585,22.698
23.665,23.531
25.796,23.551
21.284,20.434
25.81,25.415
26.224,25.862
25.802,25.378
26.6,25.818
25.079,24.596
26.13,25.557
21.153,19.285
23.92,23.697
25.455,24.911
26.45,26.266
25.581,25.062
23.687,23.441
21.984,21.447
24.123,23.647
24.379,24.028
25.801,25.619
26.663,26.306
22.215,21.906
26.354,25.774
26.604,26.106
23.332,23.208
26.22,25.751
22.107,21.946
25.757,25.57
22.16,20.202
26.612,26.478
20.781,19.607
24.5,23.969
26.598,26.044
23.629,23.252
21.628,21.536
26.041,25.299
26.597,26.124
26.471,25.999
24.079,22.706
25.417,24.533
25.675,25.567
25.906,25.574
26.409,25.969
24.573,24.159
26.564,26.114
22.382,22.144
20.044,18.593
26.249,25.84
18.404,17.183
19.04,18.974
25.698,25.284
26.118,25.523
26.404,26.186
26.136,25.592
21.554,21.137
20.637,20.373
26.094,25.879
21.029,20.925
22.494,21.819
25.093,24.739
26.059,25.309
26.683,25.87
24.297,24.137
24.53,24.138
25.305,25.228
19.665,18.589
23.96,23.69
25.784,25.38
26.335,25.898
25.013,24.812
25.767,25.518
25.852,25.613
26.434,26.177
22.334,22.121
25.376,24.964
26.76,26.103
25.693,25.299
26.849,25.835
21.475,20.971
25.348,25.097
26.369,25.947
21.759,21.603
21.468,20.984
23.33,23.139
25.243,24.709
25.784,25.278
21.058,19.555
26.005,25.861
26.782,25.899
23.977,23.575
23.838,23.496
26.257,26.118
20.305,19.686
23.945,23.674
26.176,25.963
24.077,23.999
25.549,25.044
26.772,26.46
26.222,26.046
25.295,24.812
25.543,25.088
21.861,20.986
25.62,24.983
21.425,19.697
24.14,24.034
24.868,24.772
25.208,24.872
25.326,25.011
22.643,22.495
24.827,24.456
25.559,25.094
22.408,20.77
16.71,16.603
24.051,23.192
25.166,25.062
25.175,25.002
26.384,26.246
24.277,24.096
20.646,19.985
21.983,21.208
23.535,23.092
26.933,26.63
20.668,19.344
26.432,25.63
26.355,25.733
22.576,22.15
21.766,21.66
26.779,26.11
25.229,25.023
25.867,25.376
25.835,25.214
23.729,22.961
23.895,23.745
15.988,15.766
24.848,24.656
25.2,24.921
23.567,21.974
25.687,25.281
25.738,25.37
24.068,23.977
22.374,21.88
26.243,23.804
23.935,23.826
20.436,19.363
25.992,25.435
22.692,22.224
24.401,24.301
22.266,20.904
26.548,26.16
25.354,25.055
26.118,25.99
22.647,22.564
25.223,24.813
23.567,23.211
26.811,26.652
24.933,24.456
22.891,22.765
22.735,21.267
20.558,19.343
13.487,13.058
25.76,25.658
26.98,26.782
24.036,23.513
26.831,25.986
22.593,21.519
14.553,14.124
26.459,26.276
15.317,15.051
18.784,18.484
26.171,25.86
21.396,21.063
24.073,22.559
25.481,24.997
26.713,25.49
22.958,22.858
25.671,25.111
26.859,26.389
24.347,24.025
18.436,18.308
22.76,21.334
25.747,25.321
18.952,18.289
25.621,25.484
23.996,21.915
25.169,24.859
24.553,24.204
26.929,26.482
21.495,20.136
26.444,25.895
22.817,22.203
25.724,25.307
21.34,21.222
23.164,22.712
22.003,20.744
24.348,23.895
26.319,25.786
23.753,21.9
22.204,20.417
26.754,26.228
25.84,25.536
26.068,24.994
26.905,26.443
26.465,26.099
26.36,26.222
20.046,19.982
25.476,23.258
16.778,16.667
23.472,23.194
23.488,23.07
26.179,25.769
25.493,24.911
24.344,23.875
23.807,23.39
26.63,26.03
23.546,23.049
25.441,24.652
26.796,26.381
26.537,26.208
22.099,22.174
11.459,11.348
23.734,23.523
24.543,23.487
25.116,24.332
25.409,24.981
26.453,26.069
24.65,24.493
26.77,26.321
25.382,24.845
26.948,26.607
23.333,21.845
22.333,21.91
26.837,26.467
23.02,21.734
25.424,24.798
22.939,22.562
23.753,23.341
26.819,26.287
24.715,24.266
22.097,21.63
25.504,25.405
23.704,22.679
24.34,23.007
22.877,22.589
26.616,26.25
25.797,25.622
23.369,22.766
24.626,24.143
24.832,24.707
26.81,26.237
24.502,24.315
17.495,17.051
21.292,20.626
22.639,22.254
26.846,26.18
22.841,20.667
19.156,17.889
24.74,24.579
13.177,13.074
23.498,22.986
26.233,25.759
25.537,25.131
20.077,18.827
26.577,26.117
24.161,23.082
25.984,25.576
26.416,26.107
17.652,17.223
25.536,25.297
22.826,22.72
23.119,22.69
26.632,26.248
22.414,22.286
25.632,25.542
22.036,21.147
25.355,24.969
26.664,26.189
23.552,22.542
26.258,26.062
26.328,25.954
18.527,18.382
22.971,22.852
21.023,19.79
26.615,25.61
25.136,24.622
19.961,18.093
23.922,22.21
22.667,22.226
26.714,25.603
25.957,23.728
23.209,22.667
26.475,25.18
20.879,20.282
26.98,26.695
20.965,20.461
24.851,24.31
23.856,22.57
20.415,19.263
25.782,25.341
24.662,24.583
26.688,26.226
25.42,22.94
26.112,25.605
24.903,24.375
25.933,25.596
24.086,23.753
24.974,24.832
24.466,23.386
23.689,23.25
26.195,25.541
22.934,22.619
25.814,25.298
26.52,25.834
23.843,23.606
26.39,25.662
19.122,17.955
25.217,23.51
26.902,26.446
26.35,25.879
26.261,26.056
23.917,22.87
22.147,20.276
26.806,26.394
26.654,26.374
24.245,23.102
24.612,24.149
25.483,25.024
22.42,22.187
26.342,25.664
23.408,23.127
24.867,23.509
22.147,21.911
25.139,24.696
21.274,21.169
25.295,23.163
17.69,16.86
25.198,23.476
25.919,25.59
26.472,25.94
16.29,16.093
16.017,15.855
20.619,20.102
26.567,26.059
26.596,26.328
25.5,24.058
20.879,20.45
23.36,21.571
26.642,26.28
25.928,25.072
26.098,25.56
25.556,25.162
22.43,20.773
25.908,25.557
26.682,26.502
24.226,23.879
25.6,25.107
25.92,25.544
25.545,25.226
26.556,26.099
14.997,14.834
21.279,20.865
24.44,24.065
26.909,26.51
22.097,21.907
26.938,25.799
25.508,25.057
26.511,26.125
23.195,22.892
22.402,22.148
25.429,24.914
25.926,25.299
23.589,22.335
23.899,22.751
21.403,20.778
24.963,24.538
26.664,26.217
24.1,23.725
22.656,22.348
26.024,24.508
20.479,19.31
25.751,25.459
24.125,24.052
26.587,25.949
26.982,26.755
26.431,26.114
20.511,18.918
23.051,22.993
22.957,22.521
26.981,26.837
25.608,25.333
26.638,26.223
25.342,24.233
26.315,25.681
24.03,23.508
22.715,22.605
25.863,24.389
26.026,24.144
23.643,21.635
21.612,20.541
26.84,25.988
23.902,23.46
23.641,21.791
22.89,22.498
18.082,17.419
26.784,26.378
26.339,25.713
25.062,24.677
26.081,24.618
25.909,25.459
22.203,20.98
24.776,24.532
21.755,21.023
22.845,20.897
18.887,18.577
26.14,25.592
16.925,16.673
25.812,25.298
26.95,26.563
25.788,25.574
24.218,24.082
24.76,24.275
26.283,25.965
25.565,23.207
26.442,26.265
22.1,21.842
26.478,23.874
25.421,24.821
23.331,22.09
20.179,19.107
25.727,25.302
23.062,20.716
23.926,23.564
11.948,11.719
22.535,22.486
25.193,23.448
26.618,26.038
20.347,19.82
24.722,24.157
26.515,25.413
26.828,25.919
18.363,17.127
25.582,25.467
20.072,19.997
21.859,21.356
26.877,25.412
25.086,24.989
25.654,25.268
23.92,23.294
23.835,23.486
13.47,13.381
25.883,23.529
25.786,25.672
22.554,22.447
15.366,15.211
26.336,26.205
25.122,24.702
17.529,17.299
22.071,21.988
24.089,23.876
25.517,25.114
26.631,26.329
26.84,26.44
22.401,22.18
18.18,18.077
25.53,23.969
26.314,25.729
25.877,25.343
24.159,23.724
25.646,24.842
26.087,25.404
22.299,21.456
26.344,25.831
26.993,26.585
26.885,26.34
24.991,23.388
24.369,24.163
20.061,19.296
25.976,25.607
25.558,25.413
22.0,21.818
19.367,17.992
25.918,25.567
26.699,26.189
24.939,24.449
25.92,25.685
19.222,18.774
26.947,26.528
23.733,23.28
26.26,24.554
25.707,25.036
24.627,24.121
24.394,23.818
22.481,21.131
24.5,24.003
23.461,22.087
26.418,26.585
26.803,26.643
23.027,22.816
19.494,18.213
26.618,24.562
21.912,21.492
25.562,25.331
23.854,23.9
25.508,25.247
25.035,24.721
19.786,18.928
26.399,25.819
21.03,20.074
25.855,25.766
24.877,22.511
19.234,19.066
17.62,17.133
24.641,24.233
26.918,26.301
26.903,26.442
25.574,25.492
25.071,24.685
26.366,25.95
