# DP2 COSMOS cutout sample: full
#
# Sample: full - r < 23, no dm cut, sorted by dm desc
# Cuts applied:
#     base sample                                 4,055
#     r < 23                                        443
# Sorted by r_psf_minus_cModel (descending); obj_num is 1..N in that order.
#
# 443 objects
#
#  N  objectId         RA        DEC   r_mag      dm   u_mag   g_mag   i_mag   z_mag   y_mag  blend  isol  hst_sep
# ----------------------------------------------------------------------------------------------------------------
  52  788012012167785769  150.315190   1.802797  18.904   0.131  22.543  20.035  18.330  18.058  17.917      Y     N   0.0725
  53  788015929177954964  150.750666   2.753450  22.660   0.109  24.756  23.332  22.382  22.282  22.337      Y     N   0.0652
  54  788011668570400676  149.518649   1.609682  21.995   0.106  23.586  22.707  21.601  21.410  21.288      Y     N   0.0331
  55  788016341494821155  149.790420   2.863658  20.923   0.105  24.785  22.205  20.025  19.616  19.412      Y     N   0.1140
  56  788015585580577119  150.060475   2.667650  21.677   0.103  23.019  22.103  21.508  21.448  21.396      Y     N   0.0257
  57  788012699362550182  150.338658   1.928103  22.840   0.103  23.659  23.160  22.485  22.385  22.105      Y     N   0.0114
  58  788012080887267750  150.234786   1.886789  22.771   0.103  25.330  23.885  21.967  21.595  21.347      Y     N   0.0335
  59  788015723019526313  149.671333   2.583405  22.968   0.102  25.423  24.094  21.722  21.173  20.895      Y     N   0.0882
  60  788011187534066421  150.581830   1.680595  22.158   0.099  22.485  22.627  21.522  21.073  20.871      Y     N   0.0360
  61  788014692227375344  150.497074   2.447813  22.561   0.098  24.896  23.600  21.375  20.789  20.474      Y     N   0.0321
  62  788012630643072438  150.511844   1.917581  22.137   0.097  25.705  23.438  21.060  20.569  20.337      Y     N   0.1480
  63  788015310702669718  150.620078   2.671376  22.420   0.096  25.810  23.309  22.150  22.067  21.631      Y     N   0.0066
  64  788013249118370267  150.593330   2.205241  22.680   0.096  25.659  23.804  22.177  21.968  21.889      Y     N   0.0242
  65  788014211191038340  149.989209   2.287648  22.464   0.096  24.201  23.100  22.119  21.907  21.719      Y     N   0.0159
  66  788012080887261536  150.227782   1.786807  22.739   0.094  23.496  22.896  22.407  22.293  22.247      Y     N   0.0258
  67  788016478933770557  149.536026   2.775287  19.929   0.091  23.904  21.233  18.685  18.132  17.860      Y     N   0.0444
  68  788011324973020150  150.277569   1.685972  22.674   0.090  26.586  23.942  21.330  20.702  20.429      Y     N   0.1368
  69  788015516861102869  150.094533   2.702866  21.671   0.089  22.067  21.776  21.585  21.564  21.564      Y     N   0.0496
  70  788014142471563245  150.084352   2.290479  22.731   0.084  23.186  22.973  22.454  22.092  22.156      Y     N   0.0143
  71  788015035824762357  149.602855   2.495285  22.200   0.081  25.032  23.424  21.265  20.856  20.641      Y     N   0.0737
  72  788011531131447826  149.857602   1.630578  22.902   0.081  25.673  23.843  22.451  22.244  22.241      Y     N   0.0405
  73  788016341494818899  149.903437   2.818249  20.703   0.081  23.321  21.880  19.759  19.293  19.087      Y     N   0.0210
  74  788014692227374661  150.452798   2.442431  22.084   0.081  23.948  22.586  21.858  21.807  21.766      Y     N   0.0392
  75  788011393692495743  150.176037   1.669578  22.435   0.080  26.852  23.868  21.084  20.459  20.167      Y     N   0.0177
  76  788011324973016033  150.367089   1.624252  22.925   0.079  25.189  24.080  21.590  20.967  20.668      Y     N   0.0196
  77  788014348629995767  149.695316   2.361091  19.362   0.078  23.243  20.658  17.986  17.355  17.057      Y     N   0.2075
  78  788012355765171875  149.579214   1.867121  22.102   0.077  24.477  22.883  21.775  21.634  21.521      Y     N   0.0580
  79  788012218326216146  149.855113   1.827304  21.473   0.076  25.282  22.791  20.642  20.263  20.060      Y     N   0.0231
  80  788011531131446638  149.769792   1.608802  18.913   0.076  21.205  19.641  18.598  18.465  18.378      Y     N   0.1333
  81  788013523996248461  149.971834   2.153460  22.629   0.075  22.989  22.593  22.666  22.654  22.783      N     Y   0.1893
  82  788015035824757522  149.616772   2.417343  22.718   0.074  24.218  23.184  22.520  22.443  22.469      Y     N   0.0457
  83  788014211191037330  149.992047   2.268742  20.418   0.073  23.333  21.511  19.891  19.642  19.497      Y     N   0.2521
  84  788015035824759080  149.698757   2.441230  21.430   0.073  22.345  22.002  20.989  21.037  20.850      Y     N   0.0079
  85  788014967105282294  149.881002   2.450834  21.398   0.072  22.034  21.803  21.242  21.108  20.967      Y     N   0.0142
  86  788014829666327899  150.238116   2.445925  21.507   0.072  24.574  22.559  21.084  20.883  20.763      Y     N   0.0184
  87  788012080887267077  150.139115   1.876967  20.775   0.071  21.343  20.941  20.617  20.316  20.292      Y     N   0.0040
  88  788016272775339585  149.930183   2.757932  22.582   0.070      --  23.854  21.962  21.678  21.538      Y     N   0.1005
  89  788015310702664912  150.633864   2.593712  19.162   0.069  19.436  19.147  19.030  19.029  18.983      Y     N   0.0252
  90  788014898385805330  149.935860   2.440593  22.193   0.068  23.057  22.731  21.737  21.554  20.900      Y     N   0.0192
  91  788016272775343256  150.055254   2.818100  22.277   0.068  22.701  22.252  22.318  22.333  22.341      Y     N   0.1332
  92  788015654300053677  149.883740   2.666429  22.742   0.067  23.808  23.619  22.368  21.987  21.721      Y     N   0.0095
  93  788011943448305774  150.455955   1.765907  22.886   0.067  23.734  23.147  22.893  22.909  22.807      Y     N   0.0733
  94  788015310702672733  150.662907   2.720420  21.355   0.066  25.047  22.737  19.919  19.261  18.926      Y     N   0.0983
  95  788012974240455437  149.635167   1.915824  22.983   0.066  25.607  23.982  22.559  22.398  22.238      Y     N   0.0431
  96  788016272775341678  149.926572   2.792579  21.731   0.066  22.992  22.139  21.510  21.428  21.447      Y     N   0.0435
  97  788012218326218953  149.791776   1.872852  22.820   0.065  23.889  23.323  22.368  22.294  22.171      Y     N   0.0394
  98  788014967105279628  149.884138   2.401946  21.702   0.065  24.890  23.021  20.867  20.461  20.173      Y     N   0.0596
  99  788012355765172843  149.521744   1.887300  22.593   0.064  24.629  23.200  22.324  22.234  22.156      Y     N   0.0565
  100  788012974240457689  149.668786   1.954010  20.840   0.063  25.179  22.266  19.690  19.171  18.928      Y     N   0.0870
  101  788014967105283453  149.872926   2.469772  22.741   0.063  25.638  23.765  22.277  22.062  22.020      Y     N   0.0767
  102  788013455276798842  150.217159   2.180196  22.644   0.063  24.877  23.351  22.358  22.186  22.012      Y     N   0.0358
