# DP2 COSMOS cutout sample: full
#
# Sample: full - r < 23, no dm cut, sorted by dm desc
# Cuts applied:
#     base sample                                 4,055
#     r < 23                                        443
# Sorted by r_psf_minus_cModel (descending); obj_num is 1..N in that order.
#
# 443 objects
#
#  N  objectId         RA        DEC   r_mag      dm   u_mag   g_mag   i_mag   z_mag   y_mag  blend  isol  hst_sep
# ----------------------------------------------------------------------------------------------------------------
  228  788016135336386462  150.381959   2.758405  22.225   0.026  23.268  22.837  22.011  21.930  21.655      Y     N   0.0174
  229  788013523996272836  150.005035   2.140996  21.159   0.026  24.526  22.404  19.945  19.378  19.115      Y     N   0.1119
  230  788012149606736300  149.960873   1.743741  22.553   0.026  24.317  23.144  22.316  22.198  22.186      Y     N   0.0410
  231  788012699362552144  150.353066   1.960761  21.516   0.025  22.336  21.939  21.408  21.425  21.206      Y     N   0.0115
  232  788015035824757227  149.610686   2.410828  22.957   0.025  23.492  23.129  22.996  22.851  22.861      Y     N   0.0193
  233  788015379422144834  150.520775   2.646604  19.688   0.025  22.012  20.397  19.389  19.261  19.181      Y     N   0.0714
  234  788015516861104411  150.105285   2.723893  21.547   0.025  25.485  22.923  20.519  20.056  19.828      Y     N   0.0347
  235  788011531131445627  149.856402   1.593173  22.914   0.025  24.076  23.242  22.800  22.818  22.677      Y     N   0.0305
  236  788013249118371631  150.700010   2.225801  20.848   0.024  24.442  22.001  20.329  20.087  19.940      Y     N   0.2586
  237  788012974240455731  149.721639   1.920619  22.157   0.024  23.305  22.504  22.024  22.013  22.033      Y     N   0.0452
  238  788013661435223255  149.663594   2.085203  20.630   0.024  20.920  20.852  20.584  20.560  20.496      Y     N   0.0259
  239  788014348629994165  149.636450   2.329364  19.360   0.024  23.272  20.681  18.424  17.999  17.795      Y     N   0.0490
  240  788016410214291111  149.641119   2.735913  22.834   0.024  23.553  23.291  22.603  22.306  22.262      Y     N   0.0199
  241  788012218326218377  149.859753   1.865739  22.967   0.024  24.625  23.473  22.737  22.734  22.850      Y     N   0.0430
  242  788015448141616841  150.370859   2.566235  22.919   0.024  25.416  24.128  22.286  21.957  21.767      Y     N   0.0964
  243  788011393692492002  150.177886   1.597618  21.618   0.024  25.354  22.858  20.421  19.879  19.620      Y     N   0.1045
  244  788016478933768768  149.572663   2.742498  22.699   0.024  24.657  23.342  22.405  22.290  22.260      Y     N   0.0245
  245  788014211191041332  149.982373   2.342318  21.423   0.023  22.571  21.735  21.319  21.319  21.308      Y     N   0.0379
  246  788016204055864967  150.167294   2.797662  20.836   0.023  21.092  21.028  20.934  20.956  20.739      Y     N   0.0272
  247  788011943448307267  150.554290   1.788146  22.661   0.023  24.142  23.122  22.444  22.338  22.292      Y     N   0.0316
  248  788015310702672693  150.672141   2.722439  22.368   0.023  24.182  22.914  22.101  21.957  21.917      Y     N   0.0243
  249  788015310702664413  150.638406   2.578453  22.447   0.023  23.690  23.075  22.028  21.714  21.417      Y     N   0.0121
  250  788014898385811270  149.930149   2.532938  20.657   0.023  21.767  20.977  20.512  20.462  20.448      Y     N   0.0472
  251  788015654300048896  149.816602   2.590242  22.682   0.023  25.349  23.811  21.513  20.993  20.715      Y     N   0.0269
  252  788015723019533840  149.599729   2.715698  21.823   0.023  24.367  22.828  21.364  21.152  21.017      Y     N   0.0491
  253  788011874728836175  150.613626   1.893844  21.997   0.023  23.914  22.568  21.781  21.724  21.655      Y     N   0.0427
  254  788014760946854537  150.317088   2.483492  22.026   0.023  24.255  22.695  21.719  21.597  21.514      Y     N   0.0429
  255  788013249118368896  150.681665   2.183904  21.402   0.023  25.171  22.694  20.674  20.343  20.183      Y     N   0.0850
  256  788014692227383403  150.555860   2.564388  22.103   0.022  24.067  22.922  21.791  21.662  21.373      Y     N   0.0030
  257  788013455276796254  150.158396   2.139557  20.968   0.022  21.612  21.242  20.604  20.577  20.532      Y     N   0.0183
  258  788016066616915152  150.551521   2.843380  22.091   0.022  23.205  22.427  21.958  21.903  21.852      Y     N   0.0455
  259  788016478933771036  149.507268   2.792518  22.582   0.022  23.446  22.771  22.513  22.327  22.051      Y     N   0.0139
  260  788012974240464206  149.600405   2.064258  22.812   0.022  24.569  23.414  22.545  22.481  22.384      Y     N   0.0351
  261  788013317837843173  150.546372   2.147393  20.674   0.022  24.606  21.938  19.217  18.538  18.213      Y     N   0.0953
  262  788012080887261056  150.210416   1.780399  22.479   0.022  24.853  23.286  22.112  21.973  21.861      Y     N   0.0668
  263  788013249118366123  150.703753   2.134852  22.376   0.022  24.810  23.122  22.057  21.920  21.817      Y     N   0.0323
  264  788014967105288545  149.759455   2.549448  22.986   0.022  25.208  23.656  22.705  22.619  22.627      Y     N   0.2322
  265  788013455276801030  150.240136   2.215143  21.603   0.022  22.822  21.970  21.460  21.412  21.407      Y     N   0.0654
  266  788012974240460518  149.742192   1.998673  22.025   0.021  22.723  22.241  21.981  22.021  22.034      Y     N   0.1411
  267  788011943448308270  150.549846   1.806554  21.861   0.021  23.376  22.407  21.620  21.544  21.424      Y     N   0.0527
  268  788012974240459244  149.675146   1.982719  21.704   0.021  22.147  22.309  21.666  21.678  21.694      Y     N   0.0141
  269  788013455276795354  150.105543   2.126302  21.316   0.021  22.136  21.732  21.200  21.224  20.972      Y     N   0.0162
  270  788013455276800742  150.116092   2.205563  22.900   0.021  24.971  23.518  22.668  22.551  22.641      Y     N   0.0416
  271  788014829666334365  150.202379   2.552936  18.934   0.021  22.350  19.989  18.450  18.226  18.094      Y     N   0.0700
  272  788011531131445559  149.850870   1.592243  22.443   0.021  25.007  23.541  21.464  20.998  20.749      Y     N   0.1070
  273  788014211191043749  149.945512   2.369265  20.947   0.021  21.353  21.031  21.034  20.882  20.726      Y     N   0.0193
  274  788013523996269655  150.025389   2.081914  22.638   0.021  25.899  23.786  22.139  21.889  21.703      Y     N   0.0777
  275  788012905520987770  149.795129   2.043364  22.464   0.020  24.729  23.487  21.874  21.587  21.385      Y     N   0.2758
  276  788014692227382158  150.421578   2.555964  20.076   0.020  23.944  21.375  18.832  18.263  18.006      Y     N   0.0487
  277  788014211191043150  150.020085   2.353620  22.086   0.020  23.944  22.609  21.820  21.787  21.602      Y     N   0.0192
  278  788016135336392249  150.254891   2.848499  22.205   0.020  24.809  23.059  21.804  21.632  21.550      Y     N   0.0842
  279  788012561923601273  150.591523   2.012206  22.523   0.020  25.021  23.375  22.164  22.007  21.897      Y     N   0.0355
  280  788011874728832683  150.742961   1.825186  22.917   0.020  24.551  23.403  22.708  22.622  22.610      Y     N   0.0221
  281  788013523996273105  149.966690   2.146060  20.795   0.020  24.292  21.995  20.206  19.920  19.755      Y     N   0.1054
  282  788013523996276261  150.032025   2.197664  22.511   0.019  27.119  23.812  21.361  20.825  20.559      Y     N   0.0799
  283  788014142471561951  150.199125   2.262883  22.584   0.019  25.066  23.678  21.517  21.021  20.805      Y     N   0.0649
  284  788011943448304481  150.472261   1.741370  22.156   0.019  26.415  23.416  21.360  20.987  20.794      Y     N   0.1079
  285  788013523996273964  150.009275   2.152240  22.831   0.019  25.799  23.732  22.447  22.272  22.146      Y     N   0.0534
  286  788013455276794272  150.184044   2.116539  21.276   0.019  24.696  22.401  20.201  19.711  19.474      Y     N   0.0753
  287  788015585580576222  150.061052   2.654804  19.037   0.019  23.119  20.378  17.452  16.711  16.349      Y     N   0.2332
  288  788014967105289094  149.796171   2.564112  20.736   0.019  21.329  20.936  20.583  20.394  20.492      Y     N   0.0100
  289  788014898385809326  150.013047   2.506778  21.257   0.018  24.379  22.439  20.544  20.209  20.044      Y     N   0.0750
  290  788012630643079394  150.446017   2.043486  20.713   0.018  21.352  21.108  20.618  20.597  20.449      Y     N   0.0053
  291  788013592715755198  149.879205   2.225799  22.610   0.018      --  23.734  22.516  22.836  23.038      Y     N   0.0431
  292  788012080887262508  150.116055   1.802023  21.154   0.018  24.136  21.981  20.862  20.716  20.661      Y     N   0.0252
  293  788014142471562007  150.158617   2.265178  22.458   0.018  23.887  22.844  22.281  22.254  22.250      Y     N   0.0331
  294  788011256253539191  150.428462   1.583148  22.932   0.018  24.632  23.493  22.708  22.672  22.656      Y     N   0.0357
  295  788016341494814502  149.757734   2.743495  22.211   0.018  23.246  22.495  22.099  22.116  22.066      Y     N   0.0205
  296  788015035824764178  149.741354   2.525735  22.790   0.018  26.543  24.118  22.165  21.893  21.712      Y     N   0.1035
  297  788011668570402054  149.512446   1.638983  20.920   0.017  25.164  22.240  19.728  19.187  18.941      Y     N   0.0960
  298  788013523996275456  149.969792   2.183448  22.914   0.017  25.216  23.785  22.256  22.072  21.791      Y     N   0.0190
  299  788013042959935104  149.564666   1.977884  21.362   0.017  21.934  21.480  20.987  21.063  21.033      Y     N   0.0359
  300  788011324973016402  150.362085   1.630063  22.820   0.017  23.788  23.142  22.700  22.656  22.630      Y     N   0.1352
  301  788016066616915188  150.530494   2.844005  21.801   0.017  21.929  22.166  21.676  21.724  21.804      Y     N   0.0240
  302  788015379422141408  150.419528   2.590874  21.596   0.017  25.561  22.820  20.851  20.486  20.299      Y     N   0.0352
  303  788012630643076367  150.574889   1.976750  21.036   0.017  21.347  21.126  20.785  20.792  20.738      Y     N   0.0091
  304  788014692227382030  150.458026   2.546001  21.970   0.017  25.415  23.203  20.851  20.345  20.105      Y     N   0.0911
  305  788014279910519279  149.763472   2.334138  20.862   0.017  21.296  21.113  20.826  20.830  20.669      Y     N   0.0141
  306  788013386557321688  150.345901   2.147512  20.695   0.017  20.963  20.802  20.673  20.616  20.500      Y     N   0.0160
  307  788015654300056695  149.851815   2.718438  21.975   0.017  22.950  22.483  21.752  21.671  21.496      Y     N   0.0099
  308  788015310702670852  150.723612   2.688587  22.806   0.017  24.928  23.934  22.208  21.907  21.803      Y     N   0.0063
  309  788012149606738042  150.001045   1.767796  22.750   0.017  23.969  23.133  22.592  22.594  22.609      Y     N   0.0234
  310  788014967105283508  149.751299   2.469465  21.894   0.017  23.900  22.499  21.627  21.507  21.389      Y     N   0.0255
  311  788012699362552844  150.386707   1.966592  21.047   0.017  21.297  21.250  20.817  20.849  20.876      Y     N   0.0110
  312  788011256253543842  150.458503   1.665046  22.933   0.017  25.889  23.824  22.535  22.360  22.216      Y     N   0.0667
  313  788012355765168293  149.514810   1.807247  22.385   0.016  24.869  23.510  21.825  21.531  21.348      Y     N   0.0376
  314  788013592715750385  149.851652   2.145131  19.790   0.016  20.947  20.112  19.637  19.578  19.530      Y     N   0.0347
  315  788011599850925417  149.638166   1.662763  22.633   0.016  25.118  23.786  21.370  20.781  20.504      Y     N   0.0857
  316  788015654300055929  149.832590   2.710737  21.209   0.016  21.221  21.266  20.972  20.712  20.874      Y     N   0.0132
  317  788015585580577347  150.030627   2.678737  21.748   0.016  21.902  21.828  21.538  21.396  21.433      Y     N   0.0168
  318  788013317837844293  150.478484   2.163844  22.937   0.016  29.654  24.297  21.860  21.382  21.170      Y     N   0.0393
  319  788012080887261878  150.195031   1.793728  22.384   0.016  23.569  22.914  21.777  21.596  21.449      Y     N   0.0067
  320  788012080887263871  150.156278   1.826434  22.197   0.016  23.227  22.493  21.967  21.903  21.836      Y     N   0.0121
  321  788012287045695672  149.723363   1.851595  22.167   0.016  25.172  23.074  21.809  21.643  21.508      Y     N   0.0442
  322  788013042959936920  149.516755   2.006954  22.840   0.016  25.090  23.606  22.519  22.421  22.330      Y     N   0.0637
  323  788015654300055442  149.901684   2.697225  22.682   0.016  25.321  23.816  21.473  20.942  20.678      Y     N   0.0741
  324  788015585580579931  149.946998   2.717644  19.930   0.015  22.700  20.965  19.482  19.263  19.153      Y     N   0.1745
  325  788013936313109358  150.734046   2.337168  22.939   0.015  25.419  24.103  22.445  22.207  22.176      N     Y   0.0516
  326  788014417349444424  149.541205   2.254692  21.885   0.015  24.577  23.025  21.179  20.844  20.688      N     Y   0.0846
  327  788013455276794260  150.177328   2.102886  22.914   0.015  25.143  23.568  22.608  22.435  22.443      Y     N   0.0454
  328  788014279910519104  149.812929   2.345467  22.498   0.015  23.343  22.831  21.855  21.764  21.619      Y     N   0.0081
  329  788012699362551562  150.384501   1.949245  22.907   0.015  24.212  23.323  22.742  22.675  22.656      Y     N   0.0187
  330  788015310702666197  150.597332   2.617933  21.398   0.015  21.758  21.655  21.248  21.256  21.187      Y     N   0.0018
  331  788011393692496091  150.130969   1.659404  21.015   0.015  23.007  21.649  20.734  20.609  20.538      Y     N   0.0581
  332  788012080887267356  150.110737   1.876604  21.282   0.015  24.855  22.391  20.784  20.549  20.414      Y     N   0.0310
  333  788012149606743124  150.070166   1.858173  22.789   0.015  26.145  23.695  22.427  22.215  22.135      Y     N   0.0278
  334  788013249118367065  150.696317   2.153737  22.538   0.015  25.711  23.667  22.049  21.821  21.724      Y     N   0.0337
  335  788012768082029461  150.105200   1.981133  19.026   0.015  19.039  19.074  19.126  18.359  18.903      Y     N   0.0176
  336  788012355765169217  149.564590   1.823058  20.103   0.014  20.056  20.517  19.861  19.853  19.835      Y     N   0.0315
  337  788013661435227753  149.610153   2.160415  22.401   0.014  25.820  23.687  21.779  21.491  21.320      Y     N   0.2245
  338  788011462411973235  150.051832   1.682754  20.673   0.014  21.346  20.928  20.375  20.104  20.080      Y     N   0.0128
  339  788015379422143712  150.481152   2.631359  22.050   0.014  25.029  22.941  21.669  21.510  21.332      Y     N   0.1037
  340  788013592715752340  149.894830   2.174432  21.589   0.014  22.274  22.163  21.503  21.484  21.396      Y     N   0.0195
  341  788015104544235453  149.543317   2.427074  22.612   0.014  24.245  23.127  22.422  22.359  22.211      Y     N   0.0316
  342  788016341494816764  149.909146   2.780415  22.744   0.014  26.425  24.052  22.077  21.852  21.691      Y     N   0.0518
  343  788013249118364643  150.595760   2.111097  21.984   0.014  23.348  22.675  21.651  21.320  21.105      Y     N   0.0062
  344  788013455276792727  150.205733   2.082378  22.868   0.014  25.211  23.607  22.567  22.428  22.308      Y     N   0.0487
  345  788015035824757926  149.624526   2.424780  22.401   0.014  23.720  22.776  22.246  22.269  22.151      Y     N   0.0353
  346  788011531131451846  149.755104   1.699068  21.807   0.014  23.651  22.373  21.593  21.526  21.453      Y     N   0.0473
  347  788013730154704029  149.522140   2.125042  20.858   0.014  24.478  22.055  19.920  19.477  19.272      Y     N   0.0412
  348  788014211191044921  149.916920   2.385186  19.829   0.014  20.298  20.099  19.832  19.847  19.727      Y     N   0.0249
  349  788012355765164562  149.564866   1.743688  22.792   0.014  24.573  23.687  21.630  21.095  20.818      Y     N   0.0511
  350  788016410214292670  149.634658   2.759888  22.260   0.014  22.887  22.548  22.115  22.095  22.064      Y     N   0.0207
  351  788013249118371670  150.745624   2.224269  22.024   0.014  23.799  22.572  21.796  21.733  21.705      Y     N   0.0452
  352  788013592715753699  149.782721   2.197016  22.653   0.014  24.313  23.152  22.434  22.356  22.280      Y     N   0.0295
  353  788011943448312240  150.485622   1.871898  22.734   0.014  31.118  24.753  22.236  22.025  22.057      Y     N   0.0104
  354  788012630643072806  150.581226   1.926945  19.863   0.014  20.006  20.047  19.687  19.824  19.899      Y     N   0.0128
  355  788012218326216574  149.856274   1.834370  22.987   0.014  24.532  23.445  22.796  22.741  22.771      Y     N   0.0366
  356  788014005032614323  150.421942   2.385508  22.726   0.014  22.563  22.985  22.458  22.509  22.448      Y     N   0.0226
  357  788012012167790381  150.359032   1.867708  22.463   0.013  23.280  22.393  22.516  22.543  22.657      Y     N   0.0210
  358  788015104544238370  149.522931   2.473910  22.479   0.013  25.016  23.298  22.151  22.021  21.902      Y     N   0.0471
  359  788015516861104725  150.169987   2.728074  19.629   0.013  20.777  19.940  19.514  19.502  19.500      Y     N   0.0485
  360  788016135336387081  150.271681   2.769677  19.789   0.013  23.591  21.028  19.158  18.869  18.712      Y     N   0.0872
  361  788011462411971548  149.949284   1.656387  22.492   0.013  23.854  22.916  22.302  22.284  22.277      Y     N   0.0438
  362  788014829666330256  150.237465   2.480171  22.497   0.013  26.165  23.600  22.027  21.812  21.675      Y     N   0.0569
  363  788014142471565499  150.228542   2.324767  22.798   0.013  24.080  23.262  22.621  22.544  22.546      Y     N   0.0306
  364  788011943448306344  150.419698   1.776633  22.464   0.013  27.935  23.746  21.519  21.085  20.900      Y     N   0.1030
  365  788012768082034073  150.187882   2.056183  18.957   0.013  21.805  19.797  18.606  18.452  18.353      Y     N   0.0805
  366  788011874728836023  150.656749   1.890467  22.598   0.013  26.206  23.866  22.045  21.798  21.666      Y     N   0.1186
  367  788016066616915276  150.457826   2.842591  22.424   0.013  24.342  23.035  22.162  22.046  21.954      Y     N   0.0385
  368  788012561923600813  150.686766   2.001766  22.925   0.013  25.626  24.020  22.299  21.985  21.799      Y     N   0.0732
  369  788011462411969915  150.056443   1.627478  20.388   0.013  20.771  20.462  20.162  20.111  20.131      Y     N   0.0083
  370  788012630643075604  150.551025   1.967986  22.294   0.013  25.755  23.399  21.824  21.599  21.486      Y     N   0.2748
  371  788013386557317177  150.338652   2.079932  18.332   0.013  22.234  19.640  17.418  16.999  16.790      Y     N   0.1665
  372  788014692227376897  150.576636   2.476749  21.748   0.013  22.761  22.024  21.642  21.667  21.620      Y     N   0.0254
  373  788015654300048959  149.833281   2.588336  22.319   0.013  23.394  22.454  22.321  22.377  22.421      Y     N   0.0137
  374  788011531131453115  149.762413   1.728001  22.159   0.013  24.576  22.909  21.894  21.791  21.678      Y     N   0.0373
  375  788013455276794231  150.119291   2.109642  22.500   0.013  26.326  23.727  21.307  20.758  20.494      Y     N   0.1178
  376  788014417349469073  149.567283   2.259753  22.843   0.012  26.289  24.021  22.356  22.132  21.985      Y     N   0.0729
  377  788013249118365264  150.637971   2.123239  21.700   0.012  23.484  22.243  21.498  21.418  21.397      Y     N   0.0247
  378  788012699362557594  150.291678   2.043265  22.410   0.012  26.200  23.686  21.384  20.898  20.672      Y     N   0.0285
  379  788011324973020507  150.398533   1.692880  21.860   0.012  23.955  22.486  21.608  21.517  21.413      Y     N   0.0446
  380  788014692227377925  150.464963   2.484902  22.324   0.012  23.417  22.630  22.214  22.191  22.279      Y     N   0.0244
  381  788014967105280799  149.870695   2.417278  22.438   0.012  23.144  22.813  22.034  21.872  21.769      Y     N   0.0094
  382  788014279910521393  149.897181   2.365754  22.878   0.012  23.852  23.200  22.727  22.685  22.688      Y     N   0.0388
  383  788012699362559114  150.334367   2.061450  20.145   0.012  20.508  20.303  20.170  20.029  19.917      Y     N   0.0153
  384  788013936313138590  150.638438   2.391320  22.569   0.012  72.709  23.808  22.353  22.658  22.753      Y     N   0.0101
  385  788013661435229335  149.631971   2.185445  21.816   0.012  25.438  23.065  20.963  20.569  20.386      Y     N   0.0676
  386  788015035824765619  149.610862   2.548978  21.973   0.012  24.684  23.219  20.285  19.459  19.043      Y     N   0.2793
  387  788012287045698367  149.671929   1.893045  22.425   0.011  24.324  23.016  22.169  22.086  22.085      Y     N   0.0474
  388  788011256253545721  150.447506   1.695655  22.153   0.011  22.667  22.436  22.070  21.895  21.831      Y     N   0.0086
  389  788013317837845710  150.531877   2.188903  21.284   0.011  21.775  21.509  21.169  20.881  20.895      Y     N   0.0076
  390  788015379422145848  150.534490   2.667266  22.817   0.011  26.118  23.905  22.356  22.151  21.946      Y     N   0.0515
  391  788012355765171978  149.524394   1.866375  21.240   0.011  21.921  21.393  20.995  20.929  20.920      Y     N   0.0307
  392  788016066616908947  150.472229   2.747919  22.231   0.011  24.926  23.125  21.838  21.672  21.571      Y     N   0.0408
  393  788014760946855724  150.386217   2.515785  22.683   0.011  76.435  23.877  22.072  21.796  21.628      Y     N   0.0721
  394  788014692227373159  150.466107   2.417763  20.932   0.011  24.346  22.080  20.416  20.185  20.036      Y     N   0.0731
  395  788014760946857315  150.350821   2.525845  22.423   0.011  23.621  22.798  22.282  22.263  22.227      Y     N   0.0272
  396  788014348629990922  149.694698   2.275802  22.424   0.011  25.569  23.570  21.922  21.684  21.571      Y     N   0.0917
  397  788014829666335286  150.114988   2.556825  22.959   0.011  28.744  24.217  21.605  20.999  20.662      Y     N   0.0506
  398  788011806009356067  150.761005   1.814748  22.697   0.011  24.189  23.142  22.500  22.408  22.536      Y     N   0.0271
  399  788012699362556187  150.305948   2.020981  22.893   0.011  23.338  22.845  23.003  23.115  23.092      Y     N   0.0465
  400  788012561923596587  150.661278   1.926118  21.736   0.011  22.748  21.966  21.650  21.637  21.594      Y     N   0.0237
  401  788011943448307637  150.415996   1.796217  21.775   0.011  24.785  22.774  21.312  21.111  21.002      Y     N   0.0961
  402  788014279910519326  149.761393   2.337811  22.597   0.011  24.289  23.115  22.388  22.340  22.236      Y     N   0.0253
  403  788014623507897041  150.676919   2.422314  21.924   0.011  25.547  23.186  20.919  20.465  20.266      Y     N   0.1057
  404  788012218326217815  149.857470   1.856312  23.000   0.011  26.012  23.958  22.570  22.369  22.290      Y     N   0.0459
  405  788013661435230789  149.670208   2.210543  21.959   0.011  23.446  22.436  21.754  21.677  21.635      Y     N   0.0410
  406  788015448141625890  150.411451   2.705075  22.788   0.010  26.270  23.987  21.756  21.297  21.071      Y     N   0.0304
  407  788014760946856780  150.345678   2.519651  21.309   0.010  22.549  21.687  21.171  21.129  21.119      Y     N   0.0338
  408  788014279910522697  149.877114   2.389002  20.464   0.010  23.821  21.735  19.409  18.923  18.697      Y     N   0.0355
  409  788011531131449020  149.822233   1.648720  21.942   0.010  23.669  22.505  21.696  21.632  21.510      Y     N   0.0495
  410  788012630643076790  150.431799   1.992576  22.311   0.010  24.797  23.453  21.178  20.632  20.390      Y     N   0.0422
  411  788014623507903958  150.639502   2.542282  22.922   0.010  30.371  24.111  22.049  21.660  21.427      Y     N   0.0431
  412  788014829666334675  150.087875   2.554227  19.931   0.010  23.817  21.208  19.171  18.830  18.655      Y     N   0.0655
  413  788015654300053621  149.840878   2.673244  22.489   0.010  24.865  23.202  22.221  22.088  22.067      Y     N   0.0379
  414  788011874728835934  150.738129   1.891071  22.978   0.010  26.237  24.162  21.972  21.484  21.243      Y     N   0.0685
  415  788013523996273937  150.071642   2.159541  22.953   0.010  26.484  24.046  21.902  21.404  21.153      Y     N   0.0963
  416  788013661435227379  149.693563   2.152613  21.152   0.010  22.111  21.434  21.045  21.043  21.037      Y     N   0.0245
  417  788013592715755253  149.845252   2.223475  22.793   0.010  26.039  24.083  21.793  21.340  21.105      Y     N   0.0464
  418  788015035824761262  149.608711   2.480162  20.954   0.010  21.827  21.095  20.916  20.951  20.955      Y     N   0.0345
  419  788013523996277006  150.028538   2.209908  21.445   0.010  22.395  21.942  21.311  21.225  21.083      Y     N   0.0262
  420  788015723019526848  149.635281   2.598846  21.651   0.010  22.711  21.836  21.799  21.617  21.370      Y     N   0.0199
  421  788015035824765564  149.602066   2.547579  22.988   0.009  27.902  24.124  22.459  22.225  22.071      Y     N   0.0462
  422  788016135336385744  150.349169   2.748102  21.983   0.009  24.751  22.923  21.572  21.383  21.248      Y     N   0.0885
  423  788011393692499171  150.160961   1.708013  21.701   0.009  25.184  23.027  20.533  20.003  19.764      Y     N   0.1439
  424  788014005032614899  150.458467   2.397377  22.253   0.009  24.771  23.200  21.782  21.758  21.585      Y     N   0.0282
  425  788013317837848468  150.490567   2.228490  19.241   0.009  21.664  20.317  18.119  17.586  17.339      Y     N   0.1032
  426  788014829666330215  150.151621   2.479757  22.683   0.009  25.879  23.906  22.111  21.847  21.716      Y     N   0.0772
  427  788013592715752715  149.837335   2.181921  22.859   0.009  23.357  22.971  22.829  22.987  23.058      Y     N   0.2209
  428  788011668570400522  149.527187   1.605065  22.805   0.009  76.355  24.076  22.107  21.768  21.621      Y     N   0.0343
  429  788014005032605450  150.506450   2.246038  21.534   0.009  22.678  21.976  21.239  20.911  20.673      Y     N   0.0083
  430  788014623507904132  150.623744   2.548524  22.811   0.009  25.039  23.882  21.369  20.696  20.404      Y     N   0.1763
  431  788012905520982622  149.832593   1.952199  22.631   0.009  24.461  23.208  22.379  22.327  22.227      Y     N   0.0208
  432  788014211191038377  150.031234   2.288550  22.581   0.008  25.931  23.811  21.149  20.480  20.152      Y     N   0.0350
  433  788012768082030987  150.233949   2.008243  22.500   0.008  23.478  22.795  22.416  22.392  22.294      Y     N   0.0367
  434  788012630643080795  150.447393   2.048587  22.336   0.008  25.480  23.531  21.678  21.387  21.173      Y     N   0.0707
  435  788012493204124663  150.751948   2.005330  21.740   0.008  24.581  22.667  21.338  21.160  21.050      Y     N   0.0626
  436  788014279910515746  149.828690   2.284637  22.788   0.008  25.666  24.076  21.764  21.299  21.064      Y     N   0.0196
  437  788015104544239970  149.513503   2.493287  22.703   0.008  25.894  23.624  22.275  22.083  22.022      Y     N   0.0599
  438  788012974240456331  149.636307   1.931139  22.251   0.007  23.519  22.647  22.097  22.067  21.996      Y     N   0.0524
  439  788016204055867180  150.094635   2.832314  22.788   0.006  23.417  23.220  22.398  22.261  22.049      Y     N   0.0245
  440  788013730154700865  149.517333   2.072424  22.456   0.006  25.216  23.599  20.808  20.038  19.660      Y     N   0.2095
  441  788015654300051571  149.792104   2.635800  22.801   0.006  25.303  23.654  22.452  22.320  22.165      Y     N   0.0466
  442  788013317837846806  150.415803   2.201705  22.980   0.005  25.484  24.101  21.426  20.641  20.267      Y     N   0.0516
  443  788013592715752132  149.879994   2.167657  22.434   0.001  25.019  23.699  20.532  19.603  19.114      Y     N   0.1376
