obj_num,RA,DEC,objectId,refBand,refExtendedness,detect_fromBlend,detect_isIsolated,parentObjectId,u_cModelMag,u_psfMag,u_psf_minus_cModel,u_extendedness,u_blendedness,g_cModelMag,g_psfMag,g_psf_minus_cModel,g_extendedness,g_blendedness,r_cModelMag,r_psfMag,r_psf_minus_cModel,r_extendedness,r_blendedness,i_cModelMag,i_psfMag,i_psf_minus_cModel,i_extendedness,i_blendedness,z_cModelMag,z_psfMag,z_psf_minus_cModel,z_extendedness,z_blendedness,y_cModelMag,y_psfMag,y_psf_minus_cModel,y_extendedness,y_blendedness,hst_id,hst_label,hst_sep_arcsec,hst_acs_mu_class,hst_flag_combined
1,150.27607225895005,1.6381846852270325,788011324973016747,i,1.0,True,False,788011324972992422,23.853577223552435,25.50996557217844,1.656388348626006,1.0,-0.5028985142707825,23.022632711878938,24.740031264575624,1.717398552696686,0.0,-5.750595569610596,22.39928258424178,24.371776328973883,1.9724937447321018,1.0,-0.9710257053375244,22.224460360448553,24.318863576295758,2.094403215847205,1.0,-0.6924663782119751,22.0842986401974,24.11040275276242,2.0261041125650188,,-0.13121765851974487,21.958836032642154,24.07878236234069,2.1199463296985357,,0.08587024360895157,204770,0,0.042482337758048196,2,0
2,149.98485967327252,2.217304937182979,788013523996276729,i,1.0,True,False,788013523996249649,22.134353617225972,23.038645879929337,0.9042922627033647,1.0,-7.538936138153076,21.23852748352369,22.272739865647463,1.0342123821237728,1.0,-47.14982986450195,20.838110850067878,21.801445214009505,0.9633343639416267,1.0,-39.43045425415039,20.61565605478672,21.70693421916649,1.0912781643797729,1.0,-34.49033737182617,20.563750174541035,21.53527477015315,0.9715245956121166,1.0,-15.290952682495117,20.51393256982707,21.472635814387615,0.9587032445605459,1.0,-5.434725761413574,139878,0,0.026396160874480473,2,0
3,150.73048670531068,2.5370857336797323,788014623507904010,i,1.0,True,False,788014623507877482,25.074516295347685,25.735632963108827,0.6611166677611422,,0.23360152542591095,23.589249503509198,24.429628396576994,0.8403788930677969,,-6.464171409606934,22.72655631643609,23.610747061942636,0.8841907455065474,1.0,-6.629457950592041,22.337134902262378,23.331062736716465,0.9939278344540874,1.0,-5.622995376586914,22.2160533682935,23.20405811052307,0.9880047422295704,,-2.3738536834716797,22.099282287987972,22.985407021275655,0.8861247332876836,,-0.7953152060508728,875181,0,0.11199038213894552,2,1
4,149.87776931318763,2.5194233684297895,788014967105286505,i,1.0,True,False,788014967105260579,22.066666559267308,22.754893752472483,0.6882271932051758,1.0,-11.200515747070312,21.364533156815405,22.109136609703118,0.7446034528877128,1.0,-62.343162536621094,21.03752900768672,21.77672932084028,0.7392003131535567,1.0,-44.7568244934082,20.74729852848132,21.63912121461346,0.8918226861321408,1.0,-30.57335090637207,20.6637893328728,21.529904220084344,0.8661148872115447,,-15.75859260559082,20.63649959748091,21.462816020246116,0.8263164227652062,,-4.712686061859131,595060,0,0.09718013178126439,2,0
5,149.92451998627573,2.250036943698129,788014211191035826,i,1.0,True,False,788014211191013866,23.552090304460826,24.244162371816437,0.6920720673556104,,-2.0367112159729004,22.960991090113904,23.711072232988705,0.7500811428748015,1.0,-12.554471015930176,22.47451396189245,23.20255879120173,0.7280448293092832,1.0,-13.216452598571777,22.207691562741605,23.050338651944152,0.842647089202547,1.0,-9.709480285644531,21.99662128012948,22.814131804440613,0.8175105243111318,,-4.050926208496094,21.79506186436559,22.564616229763722,0.7695543653981325,,-0.9110515713691711,629165,0,0.13585132255576754,2,0
6,149.5872712162984,2.5215102823225735,788015035824763517,i,1.0,True,False,788015035824737369,23.87171056092194,24.463761492479343,0.5920509315574023,1.0,-1.530585765838623,23.15187919884867,23.92342923726701,0.77155003841834,1.0,-7.287506580352783,22.36944725168419,23.0873213056449,0.7178740539607098,1.0,-11.27038288116455,22.092427846738033,22.958397462031364,0.8659696152933307,1.0,-9.469839096069336,21.955218539026685,22.6924328001043,0.7372142610776145,1.0,-5.108020782470703,21.82254115768874,22.740847197738134,0.9183060400493943,,-0.9863076210021973,364516,0,0.014899058452413762,2,0
7,149.55111240770648,2.641622605793628,788015791739003960,i,1.0,True,False,788015791738980361,23.547618002145548,23.980684198261756,0.4330661961162079,,-2.4850311279296875,22.542556967012892,23.226176668028945,0.6836197010160525,,-15.508882522583008,21.59272927275506,22.230312629637258,0.637583356882196,1.0,-29.844587326049805,20.929043543690373,21.65266191484306,0.7236183711526856,1.0,-36.849281311035156,20.606624921957597,21.27358325739575,0.666958335438153,1.0,-21.461896896362305,20.432548921725914,21.074843747324383,0.6422948255984693,1.0,-7.326664447784424,182451,0,0.10152191271538395,2,0
8,149.7028340508988,2.682793924659657,788015723019531837,i,1.0,True,False,788015723019504767,24.568902582434866,25.084185335535395,0.5152827531005286,1.0,-0.8839007616043091,22.45015358371694,22.996350212236642,0.5461966285197022,1.0,-26.24333381652832,21.278648371322593,21.854973600943502,0.5763252296209096,1.0,-47.654197692871094,20.715298959828345,21.373294198114404,0.657995238286059,1.0,-49.17646026611328,20.451618008619832,21.094130264432035,0.6425122558122034,1.0,-27.990549087524414,20.315466072261678,20.925145289811457,0.6096792175497789,1.0,-10.673144340515137,474539,0,0.13297280899111324,2,0
9,150.41022938527485,1.6695182305764167,788011324973018782,r,1.0,True,False,788011324972993168,24.43692432652628,25.135530717822064,0.6986063912957832,,-0.2446102648973465,23.326759814038304,23.954358073011775,0.627598258973471,,-6.238645553588867,22.216459141857257,22.762638152669926,0.5461790108126685,1.0,-14.974882125854492,21.518979724353436,22.083334964279523,0.5643552399260869,1.0,-27.973424911499023,21.228516586703638,21.73857014491863,0.5100535582149917,1.0,-19.805845260620117,21.122487301904112,21.610031816387103,0.4875445144829911,0.0,-10.211540222167969,397313,0,0.21301655302217987,2,0
10,149.55241107918567,2.590757209831191,788015791739001246,i,1.0,True,False,788015791738979091,23.633137356483495,24.12586936451404,0.4927320080305435,1.0,-1.8973541259765625,22.537877305620796,23.082069416362387,0.5441921107415908,1.0,-22.199525833129883,21.649379233355116,22.181962320356643,0.5325830870015267,1.0,-35.501869201660156,21.1914706665423,21.803057537295224,0.6115868707529231,1.0,-39.64409637451172,20.947981083292646,21.523464350554747,0.5754832672621006,1.0,-17.00840950012207,20.507623773216423,21.05951568722824,0.5518919140118186,1.0,-7.47147798538208,633914,0,0.009699555226118083,2,0
