band,label,count,mean,median,std,p16,p84
g,galaxy,13229,0.11189563013474256,3.1716026870492224e-11,0.2194667553739303,5.331281629153927e-69,0.3754855233594892
g,star,341,0.5645504978943923,0.666571091186946,0.34361906706752543,0.006775796641253301,0.9102936716148365
i,galaxy,13451,0.13525717997432313,2.18718449060419e-150,0.30513624391029587,0.0,0.3212056152685061
i,star,347,0.695088282058499,0.9320364980148195,0.4146878716360587,1.7690874602818746e-08,0.9987540451093166
r,galaxy,13376,0.10184304678810685,7.619632049596358e-54,0.23744353422631392,0.0,0.16343348264457197
r,star,346,0.6785018402603892,0.8563739471277199,0.38367375981985674,0.005054808053842281,0.9966638809200788
u,galaxy,9540,0.05637973554473656,3.1153170620689758e-21,0.14846856713616788,9.896593386024322e-148,0.03711811292693143
u,star,256,0.40653369099898357,0.3708402364944367,0.39541836221919235,2.058608931560192e-11,0.9751787158319813
y,galaxy,10654,0.03546312150141408,2.1702475852788604e-07,0.07345935229868777,9.535695125954891e-89,0.10214424794647592
y,star,344,0.5850316714749625,0.8198862659821695,0.4159753246569111,0.042248129395400576,0.9981139750121703
z,galaxy,13123,0.11070401229561498,6.443612477428544e-44,0.25435768688200555,0.0,0.20516526343192096
z,star,347,0.7025087310209835,0.9392608218543815,0.39055720480683487,0.006639660604257509,0.9992734723480805
