band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,7038,0.16595557166279937,8.716427274115991e-10,0.7662688493728638,1.0,0.23373118042945862,0.0,0.3977903522841601
i,galaxy,11995,0.15541422090015536,8.390131430735789e-110,0.8426844477653503,1.0,0.15731555223464966,0.0,0.9101896067262975
r,galaxy,8057,0.1200340201863701,1.2911511141553308e-44,0.8053866028785706,1.0,0.19461338222026825,0.0,0.3729464800868977
u,galaxy,1925,0.075477276631933,3.445911717458697e-11,0.6587013006210327,1.0,0.3412986993789673,0.0,0.22391924927252657
y,galaxy,2757,0.04318811123942045,1.0865107135241987e-27,0.7312296032905579,1.0,0.26877039670944214,0.0,0.22280595782290738
z,galaxy,7513,0.08910971034752797,1.0173721026945698e-55,0.8172500729560852,1.0,0.1827498972415924,0.0,0.31588344465664
g,star,255,0.7677966162541664,0.871362139816016,0.1882352977991104,0.0,0.8117647171020508,1.0,0.4210560551168515
i,star,342,0.713863872318258,0.947909006074255,0.24853801727294922,0.0,0.7514619827270508,1.0,0.9369010268033009
r,star,298,0.7532641928596031,0.8987849287352825,0.2651006579399109,0.0,0.7348993420600891,1.0,0.535864776348857
u,star,117,0.6825696618604091,0.9573973023657344,0.36752137541770935,0.0,0.632478654384613,1.0,0.32302950605410063
y,star,249,0.7587591291185817,0.9883135657047197,0.23694778978824615,0.0,0.763052225112915,1.0,0.5078757040196659
z,star,314,0.7366528491578928,0.9498935196709123,0.23885349929332733,0.0,0.7611464858055115,1.0,0.572095364800386
