band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,7038,0.2009563411668887,5.304081611019138e-09,0.7662688493728638,1.0,0.23373118042945862,0.0,0.36950577546326646
i,galaxy,11996,0.12609275620444949,8.728776620391957e-149,0.8426142334938049,1.0,0.15738579630851746,0.0,0.9305401209896688
r,galaxy,8057,0.09409898092245281,2.772080275267979e-57,0.8053866028785706,1.0,0.19461338222026825,0.0,0.3678355509739537
u,galaxy,1924,0.04993220308182896,2.9098304998107126e-17,0.6585239171981812,1.0,0.34147608280181885,0.0,0.1878120034750912
y,galaxy,2738,0.030205828534612452,2.4073908057394855e-21,0.7348429560661316,1.0,0.2651570439338684,0.0,0.22879063853169612
z,galaxy,7513,0.07546737748564762,1.0758515604362007e-65,0.8172500729560852,1.0,0.1827498972415924,0.0,0.3020230859313765
g,star,255,0.8609729993764098,0.9722436025675704,0.1882352977991104,0.0,0.8117647171020508,1.0,0.22220063752839264
i,star,342,0.6763655308124328,0.8974279646620641,0.24853801727294922,0.0,0.7514619827270508,1.0,0.9179097521339951
r,star,298,0.7421757808531764,0.9007868883115122,0.2651006579399109,0.0,0.7348993420600891,1.0,0.4880510935724351
u,star,117,0.5766667408318623,0.6679849261641013,0.36752137541770935,0.0,0.632478654384613,1.0,0.3341099031208674
y,star,248,0.7548919735194377,0.9884804439731427,0.23790322244167328,0.0,0.7620967626571655,1.0,0.5297992446318895
z,star,314,0.7226193403129406,0.9520042449663162,0.23885349929332733,0.0,0.7611464858055115,1.0,0.5506758472258172
