band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,7037,0.20194781319869826,5.442477374063716e-09,0.7663777470588684,1.0,0.23362228274345398,0.0,0.37043759697129514
i,galaxy,11995,0.12570643971728265,4.335577126553553e-149,0.8426844477653503,1.0,0.15731555223464966,0.0,0.930838172934229
r,galaxy,8057,0.09700142803570289,2.796811493115814e-56,0.8053866028785706,1.0,0.19461338222026825,0.0,0.36891638856102826
u,galaxy,1920,0.05005190593063915,1.0981734894574936e-17,0.6583333611488342,1.0,0.34166666865348816,0.0,0.18309094496197317
y,galaxy,2738,0.05467809829997948,4.2971899333305175e-20,0.7348429560661316,1.0,0.2651570439338684,0.0,0.26656799562843286
z,galaxy,7513,0.0776115504847978,4.5745964119664464e-66,0.8172500729560852,1.0,0.1827498972415924,0.0,0.3018066020973407
g,star,255,0.8507731002954364,0.9745486401589584,0.1882352977991104,0.0,0.8117647171020508,1.0,0.20776848153443653
i,star,342,0.6760222987995848,0.8976025868131768,0.24853801727294922,0.0,0.7514619827270508,1.0,0.9177715088433428
r,star,298,0.7457368858932102,0.9018454470761041,0.2651006579399109,0.0,0.7348993420600891,1.0,0.4865662042372184
u,star,117,0.611357160656491,0.8884215271555015,0.36752137541770935,0.0,0.632478654384613,1.0,0.29842199792386653
y,star,248,0.7541612250523076,0.9884804439731427,0.23790322244167328,0.0,0.7620967626571655,1.0,0.52279242058405
z,star,314,0.7238822561367574,0.9517056327529207,0.23885349929332733,0.0,0.7611464858055115,1.0,0.5491218502063613
