band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,7038,0.11558599033147567,9.407152587627902e-11,0.7662688493728638,1.0,0.23373118042945862,0.0,0.3744383911329807
i,galaxy,11996,0.13958044052373544,6.652205998534945e-141,0.8426142334938049,1.0,0.15738579630851746,0.0,0.9275206369018804
r,galaxy,8057,0.10224919224392143,3.726930688435314e-58,0.8053866028785706,1.0,0.19461338222026825,0.0,0.3701349730304897
u,galaxy,1925,0.06890506272026443,3.224976307454424e-14,0.6587013006210327,1.0,0.3412986993789673,0.0,0.20137702418718983
y,galaxy,2738,0.035189479180152784,5.03894065617488e-18,0.7348429560661316,1.0,0.2651570439338684,0.0,0.24355358521001683
z,galaxy,7513,0.10150648022386287,8.583734906520117e-62,0.8172500729560852,1.0,0.1827498972415924,0.0,0.30723855065377514
g,star,255,0.6859377363484925,0.7453580665343049,0.1882352977991104,0.0,0.8117647171020508,1.0,0.3390144609769054
i,star,342,0.7051965278823533,0.9475684235095267,0.24853801727294922,0.0,0.7514619827270508,1.0,0.9403403774065984
r,star,298,0.7588604065672762,0.9368515278569869,0.2651006579399109,0.0,0.7348993420600891,1.0,0.5100822233135557
u,star,117,0.6700179952233973,0.9392469342697506,0.36752137541770935,0.0,0.632478654384613,1.0,0.36296624525063975
y,star,248,0.763713273445916,0.9786520010475859,0.23790322244167328,0.0,0.7620967626571655,1.0,0.5360810838036298
z,star,314,0.736679639123664,0.9501358755910587,0.23885349929332733,0.0,0.7611464858055115,1.0,0.5180428313204919
