band,label,count,mean,median,std,p16,p84
g,galaxy,13227,0.11222473632177032,9.014104968948919e-12,0.22115801816763297,2.8535327469385296e-72,0.37335597376348134
g,star,341,0.5647040034576808,0.6681069269010592,0.34492510631260676,0.005499457798111207,0.9075982034780271
i,galaxy,13450,0.13781443676063174,3.891129546378018e-153,0.3091728058124815,0.0,0.3602030611734206
i,star,347,0.660912566602242,0.9267796250454255,0.4364606325318249,1.83533567793626e-12,0.9987540451093166
r,galaxy,13376,0.10265197709983764,1.400176586354665e-54,0.23942351304739065,0.0,0.16675441553219747
r,star,346,0.6780237252968487,0.8486692812834472,0.3827161684395664,0.005118487841674682,0.9966638809200788
u,galaxy,9539,0.08111078729106715,1.8030396234863058e-16,0.19386258760479808,2.3789960514623664e-118,0.11892297911229187
u,star,256,0.46135748347451383,0.5323913668361,0.39402089928578904,1.6121142613452837e-08,0.974437993797688
y,galaxy,10654,0.1006064390760935,7.539158613783259e-05,0.1598136646176287,1.1511826666859706e-69,0.3328568936932704
y,star,344,0.6311825238998818,0.8198862659821695,0.37607961181051575,0.1454282473809411,0.9981139750121703
z,galaxy,13123,0.11319982928810886,1.237510644642947e-43,0.25889575005671017,0.0,0.21853166836853505
z,star,347,0.7048108952922632,0.9348967298420324,0.38942863659317334,0.007548025642506632,0.9992734723480805
