N_star_train,N_galaxy_train,density_method,pS_bin_count,epsilon_floor,density_built_successfully,field,external_label_source,magnitude_bin,fold,band,cross_validation_used,notes
9,273,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,3,u,True,5-fold out-of-fold likelihood
10,288,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,3,g,True,5-fold out-of-fold likelihood
10,288,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,3,r,True,5-fold out-of-fold likelihood
10,288,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,3,i,True,5-fold out-of-fold likelihood
10,288,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,3,z,True,5-fold out-of-fold likelihood
10,288,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,3,y,True,5-fold out-of-fold likelihood
9,275,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,4,u,True,5-fold out-of-fold likelihood
10,287,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,4,g,True,5-fold out-of-fold likelihood
10,288,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,4,r,True,5-fold out-of-fold likelihood
10,288,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,4,i,True,5-fold out-of-fold likelihood
10,288,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,4,z,True,5-fold out-of-fold likelihood
10,288,histogram_density,50,1e-06,True,ECDFS,HST,22 <= mag < 23,4,y,True,5-fold out-of-fold likelihood
6,667,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,0,u,True,5-fold out-of-fold likelihood
12,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,0,g,True,5-fold out-of-fold likelihood
12,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,0,r,True,5-fold out-of-fold likelihood
12,745,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,0,i,True,5-fold out-of-fold likelihood
12,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,0,z,True,5-fold out-of-fold likelihood
12,735,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,0,y,True,5-fold out-of-fold likelihood
7,676,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,1,u,True,5-fold out-of-fold likelihood
13,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,1,g,True,5-fold out-of-fold likelihood
13,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,1,r,True,5-fold out-of-fold likelihood
13,745,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,1,i,True,5-fold out-of-fold likelihood
13,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,1,z,True,5-fold out-of-fold likelihood
13,737,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,1,y,True,5-fold out-of-fold likelihood
