band,label,count,mean,median,std,p16,p84
g,galaxy,13227,0.1255428590449596,1.4864701733120214e-10,0.237702539505409,1.818696808985642e-70,0.4446779631352155
g,star,341,0.5644555877411912,0.6735184944320067,0.331601694736866,0.015982655591687493,0.9058209411376932
i,galaxy,13450,0.1435579702888636,3.875887206656723e-155,0.3167155835799338,0.0,0.4476018545762586
i,star,347,0.6475704745780524,0.9124473183899011,0.4317968899181226,1.386928424390727e-08,0.9986780729872995
r,galaxy,13376,0.1146430130935838,1.0856972047819996e-50,0.2553647495710896,0.0,0.27670882148709985
r,star,346,0.6841792737106961,0.867272415849058,0.37885361502230086,0.011406240820022987,0.9957101585298261
u,galaxy,9539,0.06941723053222905,4.724271863441478e-11,0.1535589567358302,2.8107374792574276e-91,0.15641142060976915
u,star,256,0.4413454741586465,0.40369289899577177,0.3863987668940661,3.894634160756906e-06,0.978218038464773
y,galaxy,10654,0.1535573431600647,0.0009473085011138547,0.22062493274138956,5.866874861116793e-66,0.46880872740608837
y,star,344,0.649319154720971,0.7601487928696384,0.3574083608832491,0.18119748144496858,0.9982276252990414
z,galaxy,13123,0.12132051330250337,3.983992614612182e-43,0.26896936259586773,0.0,0.29451644475658567
z,star,347,0.6984584189903389,0.9200846587694415,0.3921676579003312,0.003578481440826474,0.9990595096648623
