band,label,count,mean,median,std,p16,p84
g,galaxy,13226,0.025215775479234228,2.0411574518937756e-06,0.07454997588646946,1.5928688037372975e-86,0.03895915066625415
g,star,341,0.5396413112620516,0.7408574750836011,0.43174863858777046,0.01978734588176625,0.9911079380286483
i,galaxy,13442,0.019633546663596867,2.1080700619677835e-128,0.07627263859095684,0.0,0.01287895052792037
i,star,347,0.653547579769989,0.9672013743036815,0.4340692659915493,8.486789338216864e-08,0.998560798939221
r,galaxy,13371,0.01742960532295912,9.133904914627383e-28,0.06743971822097751,5.972982387035026e-292,0.02879949314034996
r,star,346,0.6181585444207249,0.9200975038008011,0.4420602733658824,0.011065840115726613,0.9973345871780709
u,galaxy,9553,0.04277222942123085,0.000744780919938486,0.1459775668525536,6.290719938485122e-137,0.043129806055105295
u,star,257,0.3745969133492729,0.07076078480796051,0.4377887911273028,0.006744281502140169,0.9996716749128328
y,galaxy,10640,0.023154791627695157,0.00639833963200137,0.097938370263252,5.524739057643072e-09,0.02009592488749435
y,star,344,0.5760438472766269,0.8113443961156415,0.4348619317938265,0.017007830708861235,0.999513983133524
z,galaxy,13112,0.012471312766413367,3.933610006219384e-24,0.05648873496028398,1.3663003783101482e-271,0.013586282443174284
z,star,347,0.6557999901400596,0.9253907375328116,0.41638288464248324,0.011487139878397981,0.999001942980292
