band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,7038,0.12811594619509567,1.0025263415211224e-10,0.7662688493728638,1.0,0.23373118042945862,0.0,0.3823123574295077
i,galaxy,11995,0.14773130375787405,3.1438311082804324e-147,0.8426844477653503,1.0,0.15731555223464966,0.0,0.9255308022413534
r,galaxy,8057,0.112901327547862,1.3636438384761916e-59,0.8053866028785706,1.0,0.19461338222026825,0.0,0.3765886916399422
u,galaxy,1925,0.08533310079287618,5.789978359922609e-09,0.6587013006210327,1.0,0.3412986993789673,0.0,0.20844071465775915
y,galaxy,2738,0.10552081306469102,8.2393260745457e-16,0.7348429560661316,1.0,0.2651570439338684,0.0,0.3139692644815516
z,galaxy,7513,0.10806640681620555,4.826423542775941e-69,0.8172500729560852,1.0,0.1827498972415924,0.0,0.31198535744648664
g,star,255,0.6774280441705106,0.7027660838767098,0.1882352977991104,0.0,0.8117647171020508,1.0,0.31867131746258615
i,star,342,0.6568877167979486,0.9138343677985804,0.24853801727294922,0.0,0.7514619827270508,1.0,0.8327777461494178
r,star,298,0.7591773536166757,0.9209785466677851,0.2651006579399109,0.0,0.7348993420600891,1.0,0.5047739470083088
u,star,117,0.7022458039176599,0.9304234332160924,0.36752137541770935,0.0,0.632478654384613,1.0,0.34301804867554414
y,star,248,0.7791661493645498,0.9639405706398946,0.23790322244167328,0.0,0.7620967626571655,1.0,0.5324334986764921
z,star,314,0.7294482445929993,0.9653708046724087,0.23885349929332733,0.0,0.7611464858055115,1.0,0.5182673909542755
