band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,7038,0.06912562007571761,2.6470254571318724e-25,0.7662688493728638,1.0,0.23373118042945862,0.0,0.3249623205858333
i,galaxy,11995,0.12168022787879469,2.6548450092726713e-153,0.8426844477653503,1.0,0.15731555223464966,0.0,0.9275362474391168
r,galaxy,8057,0.08867407781687676,8.686315896395906e-67,0.8053866028785706,1.0,0.19461338222026825,0.0,0.3618574133941045
u,galaxy,1924,0.06267948433394595,4.56279237728346e-14,0.6585239171981812,1.0,0.34147608280181885,0.0,0.19702566794828785
y,galaxy,2738,0.04915921176190342,5.848365223272555e-20,0.7348429560661316,1.0,0.2651570439338684,0.0,0.2542244555895448
z,galaxy,7513,0.07660677219625964,7.077055670185598e-61,0.8172500729560852,1.0,0.1827498972415924,0.0,0.30328973025578193
g,star,255,0.6908141424978649,0.8619500206966699,0.1882352977991104,0.0,0.8117647171020508,1.0,0.4438860885295077
i,star,342,0.705292982162085,0.947909006074255,0.24853801727294922,0.0,0.7514619827270508,1.0,0.9511565904536733
r,star,298,0.7311090332495523,0.8987849287352825,0.2651006579399109,0.0,0.7348993420600891,1.0,0.5098708547663441
u,star,117,0.6634271849757231,0.9573973023657344,0.36752137541770935,0.0,0.632478654384613,1.0,0.3568454423279375
y,star,248,0.7618983793656809,0.9883740913596294,0.23790322244167328,0.0,0.7620967626571655,1.0,0.5155279683951942
z,star,314,0.7301405636629247,0.9498935196709123,0.23885349929332733,0.0,0.7611464858055115,1.0,0.578591447974994
