band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,7035,0.03111787023260823,1.1720836202473614e-10,0.7661691308021545,1.0,0.23383083939552307,0.0,0.18536734338824545
i,galaxy,11987,0.021087874189071175,2.8414942077453337e-134,0.8425794839859009,1.0,0.1574205458164215,0.0,0.5817499907995166
r,galaxy,8052,0.021469594086626173,9.009031214266043e-40,0.8052657842636108,1.0,0.19473423063755035,0.0,0.20437034159435852
u,galaxy,1926,0.043047697684416,2.1855623454009978e-13,0.6583592891693115,1.0,0.3416407108306885,0.0,0.09937345530287882
y,galaxy,2725,0.027386174051660224,0.001942773102940732,0.7335779666900635,1.0,0.26642200350761414,0.0,0.16413661006403085
z,galaxy,7502,0.016102582021860726,1.827759575209365e-39,0.8169821500778198,1.0,0.18301786482334137,0.0,0.1773709557364581
g,star,255,0.7075833323273374,0.8621550593358648,0.1882352977991104,0.0,0.8117647171020508,1.0,0.424954544057975
i,star,342,0.6630720157894007,0.9735197215443613,0.24853801727294922,0.0,0.7514619827270508,1.0,0.8687306639078722
r,star,298,0.714718669797645,0.9780760319909595,0.2651006579399109,0.0,0.7348993420600891,1.0,0.5259274384792746
u,star,117,0.6823905154969555,0.9894889931797255,0.36752137541770935,0.0,0.632478654384613,1.0,0.3718923895381007
y,star,248,0.7658148938073723,0.9834768934732511,0.23790322244167328,0.0,0.7620967626571655,1.0,0.4076588206896524
z,star,314,0.7158446150470744,0.9782362567439782,0.23885349929332733,0.0,0.7611464858055115,1.0,0.5577506901728249
