band,label,count,mean,median,std,p16,p84
g,galaxy,13223,0.06702401725382227,8.442077034132613e-26,0.16549016967245875,6.015262785061614e-159,0.07502886897144229
g,star,341,0.5489963357413513,0.5907266200399988,0.3978999551927283,2.9413474894518954e-06,0.9869917179009222
i,galaxy,13450,0.11788981708890693,7.277147797540044e-166,0.2774365077387433,0.0,0.1693047732619017
i,star,347,0.6951387142796807,0.9366514333176099,0.4132598093540826,7.769157418864507e-08,0.998947441586113
r,galaxy,13368,0.0884387262011302,6.70781434344328e-62,0.21525493161006504,0.0,0.10179278727457647
r,star,346,0.6500220513909117,0.8653757102248731,0.3929973195089428,0.002364566331524758,0.9950231360370996
u,galaxy,9537,0.050346342746512195,2.7716847024718684e-21,0.13373676701069,2.5104123735220953e-144,0.030655651256249184
u,star,256,0.3942179754615423,0.33602425405732894,0.3951542969332547,6.976956989990579e-12,0.9771415594786655
y,galaxy,10654,0.06540799068032069,5.429440911926163e-06,0.11061768930815882,5.72881159658848e-90,0.20853833586512155
y,star,344,0.5886983348210846,0.8488640696639179,0.41565820505824325,0.056631268641498325,0.9976612924924445
z,galaxy,13114,0.08253216164135502,1.15653822707998e-44,0.1953489000289062,0.0,0.12479142544614057
z,star,347,0.6877627977437937,0.946261463633514,0.3938914417016918,0.0046986300650965485,0.999542392074579
