band,label,count,mean,median,std,p16,p84
g,galaxy,13204,0.2284460368488012,7.968834335854605e-09,0.39262765927691956,4.808431926133554e-57,0.956371027787743
g,star,341,0.7652484592111454,0.9709671778191068,0.3701452572828732,0.08204673264316382,0.9982339954025172
i,galaxy,13450,0.12183182076938102,3.3881915441114686e-160,0.2826304430624047,0.0,0.2111369396298553
i,star,347,0.6662984058794948,0.8909448106650701,0.4139415226125523,1.591909418544319e-08,0.9989574232427731
r,galaxy,13369,0.09707651365806033,2.1814775580221025e-52,0.22673420604886904,0.0,0.16627230559868927
r,star,346,0.665797559894732,0.8561127199357867,0.38475874624221873,0.006822429721015107,0.9978424892442398
u,galaxy,9518,0.040424813651937765,6.0904834931929015e-27,0.11550532450344528,1.7476437878333638e-178,0.009648006313114396
u,star,256,0.3538971588928652,0.1967737705313939,0.39372170739777596,8.90997599453289e-15,0.9761632424858095
y,galaxy,10654,0.07355113340949032,9.87460548761346e-06,0.12382772189058655,1.0478522824018465e-89,0.23137272918461452
y,star,344,0.5864997014629671,0.8099472643519456,0.4123211967231346,0.06900491495265483,0.9980515396101535
z,galaxy,13113,0.08427527258648375,4.10760091631353e-47,0.20161220380029973,0.0,0.11755021358431615
z,star,347,0.6823013284696143,0.9468535258798837,0.39987376593208773,0.004123021561118842,0.9995029390673389
