mag_low,mag_high,positive_class,N_valid_r_extendedness,N_valid_refExtendedness,step_auc_r_extendedness,step_auc_refExtendedness,completeness_TPR_r_extendedness,completeness_TPR_refExtendedness,false_positive_rate_r_extendedness,false_positive_rate_refExtendedness,purity_precision_r_extendedness,purity_precision_refExtendedness,delta_step_auc_ref_minus_r
16.0,24.0,star,65689,68739,0.904917789091576,0.9173517570617787,0.8127991248461643,0.8366101694915254,0.002963546663012197,0.0019066553679681897,0.9717181624979565,0.9813901701924607,0.012433967970202686
16.0,24.0,galaxy,65689,68739,0.904917789091576,0.9173517570617785,0.9970364533369878,0.9980933446320318,0.18720087515383563,0.16338983050847458,0.9770194050896395,0.980705181579453,0.012433967970202464
24.0,25.0,star,77268,86705,0.7123210408094769,0.7421145183015626,0.4774060020696792,0.5218098958333334,0.052763920450725435,0.03758085923020817,0.2607385079125848,0.33775811209439527,0.029793477492085718
24.0,25.0,galaxy,77268,86705,0.7123210408094769,0.7421145183015626,0.9472360795492746,0.9624191407697918,0.5225939979303208,0.4781901041666667,0.978946637020567,0.9820764040556864,0.029793477492085718
25.0,26.0,star,97597,133745,0.628662926569421,0.6554464253773143,0.4744842562432139,0.5003022974607013,0.21715840310437184,0.18940944670607265,0.059849349463592785,0.06278214028299382,0.026783498807893324
25.0,26.0,galaxy,97597,133745,0.628662926569421,0.6554464253773145,0.7828415968956282,0.8105905532939274,0.5255157437567861,0.4996977025392987,0.9808169951910374,0.9846066453102883,0.026783498807893436
