classification_column,mag_low,mag_high,positive_class,N_valid,N_star,N_galaxy,N_nan_or_other_classification,TP,FN,FP,TN,completeness_TPR,false_positive_rate,purity_precision,contamination,step_auc,convention
dp2_refExtendedness,16.0,24.0,star,68739,7375,61364,798,6170,1205,117,61247,0.8366101694915254,0.0019066553679681897,0.9813901701924607,0.018609829807539367,0.9173517570617787,"0=unresolved/star-like, 1=resolved/galaxy-like"
dp2_refExtendedness,16.0,24.0,galaxy,68739,7375,61364,798,61247,117,1205,6170,0.9980933446320318,0.16338983050847458,0.980705181579453,0.01929481842054698,0.9173517570617785,"0=unresolved/star-like, 1=resolved/galaxy-like"
dp2_refExtendedness,24.0,25.0,star,86705,3072,83633,1227,1603,1469,3143,80490,0.5218098958333334,0.03758085923020817,0.33775811209439527,0.6622418879056047,0.7421145183015626,"0=unresolved/star-like, 1=resolved/galaxy-like"
dp2_refExtendedness,24.0,25.0,galaxy,86705,3072,83633,1227,80490,3143,1469,1603,0.9624191407697918,0.4781901041666667,0.9820764040556864,0.01792359594431362,0.7421145183015626,"0=unresolved/star-like, 1=resolved/galaxy-like"
dp2_refExtendedness,25.0,26.0,star,133745,3308,130437,2879,1655,1653,24706,105731,0.5003022974607013,0.18940944670607265,0.06278214028299382,0.9372178597170062,0.6554464253773143,"0=unresolved/star-like, 1=resolved/galaxy-like"
dp2_refExtendedness,25.0,26.0,galaxy,133745,3308,130437,2879,105731,24706,1653,1655,0.8105905532939274,0.4996977025392987,0.9846066453102883,0.015393354689711689,0.6554464253773145,"0=unresolved/star-like, 1=resolved/galaxy-like"
