classification_column,x_column,y_column,mag_low,mag_high,N_unresolved_finite,N_resolved_finite,N_nan_or_other,xlim,ylim,convention
extendedness_r,color_ug,color_gr,16,25,23639,240404,43016,"(-0.5, 4.0)","(-0.5, 2.5)","0=unresolved/star-like, 1=resolved/galaxy-like"
extendedness_r,color_ug,color_gr,25,26,35418,133107,90716,"(-0.5, 4.0)","(-0.5, 2.5)","0=unresolved/star-like, 1=resolved/galaxy-like"
extendedness_r,color_gr,color_ri,16,25,24547,244722,43016,"(-0.5, 2.0)","(-0.5, 2.5)","0=unresolved/star-like, 1=resolved/galaxy-like"
extendedness_r,color_gr,color_ri,25,26,39017,145799,90716,"(-0.5, 2.0)","(-0.5, 2.5)","0=unresolved/star-like, 1=resolved/galaxy-like"
extendedness_r,color_ri,color_iz,16,25,24502,244324,43016,"(-0.5, 2.5)","(-0.5, 1.3)","0=unresolved/star-like, 1=resolved/galaxy-like"
extendedness_r,color_ri,color_iz,25,26,38824,144744,90716,"(-0.5, 2.5)","(-0.5, 1.3)","0=unresolved/star-like, 1=resolved/galaxy-like"
extendedness_r,color_iz,color_zy,16,25,24364,242821,43016,"(-0.5, 1.3)","(-0.7, 1.3)","0=unresolved/star-like, 1=resolved/galaxy-like"
extendedness_r,color_iz,color_zy,25,26,35024,130054,90716,"(-0.5, 1.3)","(-0.7, 1.3)","0=unresolved/star-like, 1=resolved/galaxy-like"
