field,band,mag_bin,muU,sigmaU,wU,wR1,muR1,sigmaR1,alphaR1,wR2,muR2,sigmaR2,alphaR2,wR3,muR3,sigmaR3,alphaR3
ECDFS,y,22.0-22.5,0.001879,0.024537,0.049578,0.068029,0.142691,0.053230,-0.006851,0.227747,0.217846,0.244576,3.214019,0.654646,0.042819,0.491102,19.997223
ECDFS,y,22.5-23.0,0.001879,0.024549,0.038128,0.073908,0.098999,0.045403,-0.005746,0.574585,0.110647,0.287609,2.877441,0.313379,0.039961,0.528705,19.994627
ECDFS,y,23.0-23.5,0.001879,0.024677,0.029322,0.320323,0.090427,0.075363,-0.004608,0.506931,0.307983,0.145656,-0.004530,0.143424,0.610897,0.262049,-0.013765
ECDFS,y,23.5-24.0,0.001879,0.025915,0.022550,0.407675,0.082827,0.093325,-0.007510,0.467524,0.286598,0.162018,-0.004194,0.102251,0.606849,0.300520,-0.011612
ECDFS,y,24.0-24.5,0.001879,0.036031,0.017342,0.248001,0.043275,0.104500,-0.006534,0.586332,0.000000,0.283000,2.059853,0.148325,0.000000,0.607571,3.116655
ECDFS,y,24.5-25.0,0.001879,0.086976,0.013337,0.328979,0.077455,0.163053,-0.652346,0.431401,0.166061,0.226375,-0.001570,0.226284,0.000000,0.618540,4.822045
ECDFS,y,25.0-25.5,0.001879,0.265011,0.010256,0.745375,0.030801,0.231105,-0.050974,0.174432,0.475291,0.202800,0.136191,0.069936,0.756855,0.469946,8.921739
ECDFS,y,25.5-26.0,0.001879,0.834800,0.007888,0.607767,0.000000,0.296924,-0.385591,0.330762,0.459637,0.385536,-0.055733,0.053584,1.229498,0.237746,0.009874
COSMOS,y,16.0-16.5,0.008252,0.002989,1.000000,0.000000,0.200000,0.150000,3.000000,0.000000,0.500000,0.250000,3.000000,0.000000,0.900000,0.350000,3.000000
COSMOS,y,16.5-17.0,0.008252,0.003013,0.983963,0.006862,0.023875,0.001000,-1.692360,0.000894,1.495934,0.002782,9.845514,0.008280,0.913014,0.155272,18.987291
COSMOS,y,17.0-17.5,0.008252,0.003054,0.774242,0.040336,0.000000,0.030660,2.330217,0.067092,0.715388,0.257495,2.054247,0.118330,1.023002,0.914611,19.998708
COSMOS,y,17.5-18.0,0.008252,0.003126,0.609221,0.023814,0.000000,0.040342,1.992915,0.091032,0.941321,0.245194,-1.503934,0.275932,1.017803,1.317354,19.999748
COSMOS,y,18.0-18.5,0.008252,0.003252,0.479373,0.033692,0.014540,0.012013,-0.001871,0.243597,0.564498,0.349129,1.918009,0.243338,1.045287,1.071221,19.993667
COSMOS,y,18.5-19.0,0.008252,0.003465,0.377200,0.184411,0.966563,0.404064,-1.621307,0.144226,0.429454,0.320341,2.787942,0.294163,0.857352,1.534744,19.999960
COSMOS,y,19.0-19.5,0.008252,0.003817,0.296804,0.182073,0.670977,0.280486,0.009501,0.277314,0.361415,0.348124,3.569917,0.243809,0.868611,1.214731,13.353875
COSMOS,y,19.5-20.0,0.008252,0.004376,0.233543,0.254397,0.245946,0.311078,3.382771,0.360467,0.586817,0.313213,0.794274,0.151593,0.995690,1.197706,12.371582
COSMOS,y,20.0-20.5,0.008252,0.005230,0.183766,0.571407,0.180688,0.461045,4.720099,0.177512,0.485807,0.384451,2.027922,0.067314,1.374605,1.580638,19.915447
COSMOS,y,20.5-21.0,0.008252,0.006482,0.144599,0.238376,0.129050,0.177825,2.315015,0.560646,0.340847,0.383842,2.985299,0.056380,1.244021,2.000000,19.904401
COSMOS,y,21.0-21.5,0.008252,0.008261,0.113779,0.613026,0.094663,0.406246,8.852840,0.199519,0.331339,0.327487,2.547471,0.073675,0.520106,1.109186,18.642036
COSMOS,y,21.5-22.0,0.008252,0.010731,0.089528,0.240399,0.072633,0.147231,4.447358,0.641229,0.249028,0.358239,3.932654,0.028844,1.139148,0.636408,4.402694
COSMOS,y,22.0-22.5,0.008252,0.014110,0.070446,0.661025,0.061204,0.324617,11.287866,0.247696,0.319252,0.371328,3.674454,0.020832,1.262325,0.325526,0.288161
COSMOS,y,22.5-23.0,0.008252,0.018687,0.055432,0.060843,0.035700,0.043404,2.288488,0.806660,0.085231,0.336730,12.081877,0.077066,0.318572,0.598747,19.864740
COSMOS,y,23.0-23.5,0.008252,0.024854,0.043617,0.714512,0.044849,0.257041,8.400595,0.200257,0.315790,0.285433,6.581892,0.041614,0.006308,0.986679,10.396795
COSMOS,y,23.5-24.0,0.008252,0.033137,0.034320,0.322622,0.095524,0.063918,-0.003984,0.501186,0.303520,0.127513,-0.005641,0.141872,0.544588,0.211800,-0.016477
COSMOS,y,24.0-24.5,0.008252,0.044240,0.027005,0.371133,0.000000,0.107694,1.912091,0.453731,0.172513,0.193682,1.363173,0.148131,0.000000,0.469879,5.817713
COSMOS,y,24.5-25.0,0.008252,0.059110,0.021250,0.220976,0.000000,0.079868,0.798440,0.673694,0.013148,0.264929,2.485865,0.084080,0.000000,0.531444,8.451572
COSMOS,y,25.0-25.5,0.008252,0.079012,0.016720,0.295974,0.035157,0.093587,-0.003634,0.544662,0.000000,0.267335,1.652865,0.142643,0.000000,0.553945,3.875415
COSMOS,y,25.5-26.0,0.008252,0.105640,0.013157,0.336575,0.008083,0.133669,-0.015390,0.429601,0.151246,0.238638,-0.000158,0.220668,0.000000,0.588223,7.453593
