field,band,mag_bin,star_fraction_wU,galaxy_fraction,log10_NG_NS
ECDFS,r,22.0-22.5,0.083264,0.916736,1.041790
ECDFS,r,22.5-23.0,0.066760,0.933240,1.145475
ECDFS,r,23.0-23.5,0.053528,0.946472,1.247526
ECDFS,r,23.5-24.0,0.042919,0.957081,1.348303
ECDFS,r,24.0-24.5,0.034412,0.965588,1.448083
ECDFS,r,24.5-25.0,0.027591,0.972409,1.547076
ECDFS,r,25.0-25.5,0.022123,0.977877,1.645448
ECDFS,r,25.5-26.0,0.017738,0.982262,1.743328
COSMOS,r,16.0-16.5,,,
COSMOS,r,16.5-17.0,,,
COSMOS,r,17.0-17.5,0.854702,0.145298,-0.769555
COSMOS,r,17.5-18.0,0.701356,0.298644,-0.370785
COSMOS,r,18.0-18.5,0.575522,0.424478,-0.132208
COSMOS,r,18.5-19.0,0.472265,0.527735,0.048230
COSMOS,r,19.0-19.5,0.387534,0.612466,0.198772
COSMOS,r,19.5-20.0,0.318005,0.681995,0.331348
COSMOS,r,20.0-20.5,0.260950,0.739050,0.452116
COSMOS,r,20.5-21.0,0.214132,0.785868,0.564669
COSMOS,r,21.0-21.5,0.175713,0.824287,0.671273
COSMOS,r,21.5-22.0,0.144188,0.855812,0.773450
COSMOS,r,22.0-22.5,0.118318,0.881682,0.872259
COSMOS,r,22.5-23.0,0.097090,0.902910,0.968468
COSMOS,r,23.0-23.5,0.079671,0.920329,1.062643
COSMOS,r,23.5-24.0,0.065377,0.934623,1.155213
COSMOS,r,24.0-24.5,0.053647,0.946353,1.246506
COSMOS,r,24.5-25.0,0.044022,0.955978,1.336777
COSMOS,r,25.0-25.5,0.036124,0.963876,1.426226
COSMOS,r,25.5-26.0,0.029643,0.970357,1.515013
ECDFS,i,16.0-16.5,,,
ECDFS,i,16.5-17.0,,,
ECDFS,i,17.0-17.5,0.864376,0.135624,-0.804367
ECDFS,i,17.5-18.0,0.662728,0.337272,-0.293355
ECDFS,i,18.0-18.5,0.508122,0.491878,-0.014110
ECDFS,i,18.5-19.0,0.389583,0.610417,0.195026
ECDFS,i,19.0-19.5,0.298698,0.701302,0.370672
ECDFS,i,19.5-20.0,0.229016,0.770984,0.527181
ECDFS,i,20.0-20.5,0.175589,0.824411,0.671646
ECDFS,i,20.5-21.0,0.134626,0.865374,0.808074
ECDFS,i,21.0-21.5,0.103220,0.896780,0.938924
ECDFS,i,21.5-22.0,0.079140,0.920860,1.065799
ECDFS,i,22.0-22.5,0.060677,0.939323,1.189787
ECDFS,i,22.5-23.0,0.046522,0.953478,1.311651
ECDFS,i,23.0-23.5,0.035669,0.964331,1.431934
ECDFS,i,23.5-24.0,0.027348,0.972652,1.551033
ECDFS,i,24.0-24.5,0.020968,0.979032,1.669240
ECDFS,i,24.5-25.0,0.016076,0.983924,1.786772
ECDFS,i,25.0-25.5,0.012326,0.987674,1.903792
ECDFS,i,25.5-26.0,0.009450,0.990550,2.020422
COSMOS,i,16.0-16.5,,,
COSMOS,i,16.5-17.0,,,
COSMOS,i,17.0-17.5,0.838429,0.161571,-0.715103
COSMOS,i,17.5-18.0,0.664346,0.335654,-0.296502
COSMOS,i,18.0-18.5,0.526407,0.473593,-0.045917
COSMOS,i,18.5-19.0,0.417109,0.582891,0.145338
COSMOS,i,19.0-19.5,0.330505,0.669495,0.306570
COSMOS,i,19.5-20.0,0.261882,0.738118,0.450021
COSMOS,i,20.0-20.5,0.207507,0.792493,0.581962
COSMOS,i,20.5-21.0,0.164422,0.835578,0.706026
COSMOS,i,21.0-21.5,0.130283,0.869717,0.824489
COSMOS,i,21.5-22.0,0.103232,0.896768,0.938864
COSMOS,i,22.0-22.5,0.081798,0.918202,1.050194
COSMOS,i,22.5-23.0,0.064814,0.935186,1.159226
COSMOS,i,23.0-23.5,0.051357,0.948643,1.266503
COSMOS,i,23.5-24.0,0.040694,0.959306,1.372430
COSMOS,i,24.0-24.5,0.032244,0.967756,1.477310
COSMOS,i,24.5-25.0,0.025550,0.974450,1.581377
COSMOS,i,25.0-25.5,0.020245,0.979755,1.684807
COSMOS,i,25.5-26.0,0.016041,0.983959,1.787738
ECDFS,z,16.0-16.5,,,
ECDFS,z,16.5-17.0,,,
ECDFS,z,17.0-17.5,0.855695,0.144305,-0.773037
ECDFS,z,17.5-18.0,0.647717,0.352283,-0.264494
ECDFS,z,18.0-18.5,0.490289,0.509711,0.016872
ECDFS,z,18.5-19.0,0.371123,0.628877,0.229047
ECDFS,z,19.0-19.5,0.280921,0.719079,0.408191
ECDFS,z,19.5-20.0,0.212643,0.787357,0.568520
ECDFS,z,20.0-20.5,0.160960,0.839040,0.717065
ECDFS,z,20.5-21.0,0.121838,0.878162,0.857790
ECDFS,z,21.0-21.5,0.092225,0.907775,0.993127
ECDFS,z,21.5-22.0,0.069810,0.930190,1.124654
ECDFS,z,22.0-22.5,0.052843,0.947157,1.253438
ECDFS,z,22.5-23.0,0.039999,0.960001,1.380221
ECDFS,z,23.0-23.5,0.030277,0.969723,1.505531
ECDFS,z,23.5-24.0,0.022918,0.977082,1.629747
ECDFS,z,24.0-24.5,0.017348,0.982652,1.753150
ECDFS,z,24.5-25.0,0.013132,0.986868,1.875943
ECDFS,z,25.0-25.5,0.009940,0.990060,1.998279
ECDFS,z,25.5-26.0,0.007524,0.992476,2.120270
COSMOS,z,16.0-16.5,,,
COSMOS,z,16.5-17.0,,,
COSMOS,z,17.0-17.5,0.793350,0.206650,-0.584229
COSMOS,z,17.5-18.0,0.628263,0.371737,-0.227906
COSMOS,z,18.0-18.5,0.497529,0.502471,0.004293
COSMOS,z,18.5-19.0,0.393999,0.606001,0.186978
COSMOS,z,19.0-19.5,0.312012,0.687988,0.343409
COSMOS,z,19.5-20.0,0.247086,0.752914,0.483897
COSMOS,z,20.0-20.5,0.195670,0.804330,0.613909
COSMOS,z,20.5-21.0,0.154954,0.845046,0.736679
COSMOS,z,21.0-21.5,0.122710,0.877290,0.854265
COSMOS,z,21.5-22.0,0.097175,0.902825,0.968048
COSMOS,z,22.0-22.5,0.076954,0.923046,1.078991
COSMOS,z,22.5-23.0,0.060941,0.939059,1.187784
COSMOS,z,23.0-23.5,0.048260,0.951740,1.294933
COSMOS,z,23.5-24.0,0.038218,0.961782,1.400814
COSMOS,z,24.0-24.5,0.030265,0.969735,1.505714
COSMOS,z,24.5-25.0,0.023967,0.976033,1.609848
COSMOS,z,25.0-25.5,0.018980,0.981020,1.713385
COSMOS,z,25.5-26.0,0.015030,0.984970,1.816453
ECDFS,y,16.0-16.5,,,
ECDFS,y,16.5-17.0,0.890905,0.109095,-0.912026
ECDFS,y,17.0-17.5,0.685145,0.314855,-0.337671
ECDFS,y,17.5-18.0,0.526906,0.473094,-0.046785
ECDFS,y,18.0-18.5,0.405213,0.594787,0.166677
ECDFS,y,18.5-19.0,0.311627,0.688373,0.344189
ECDFS,y,19.0-19.5,0.239654,0.760346,0.501426
ECDFS,y,19.5-20.0,0.184305,0.815695,0.645992
ECDFS,y,20.0-20.5,0.141738,0.858262,0.782133
ECDFS,y,20.5-21.0,0.109003,0.890997,0.912438
ECDFS,y,21.0-21.5,0.083828,0.916172,1.038588
ECDFS,y,21.5-22.0,0.064467,0.935533,1.161719
ECDFS,y,22.0-22.5,0.049578,0.950422,1.282626
ECDFS,y,22.5-23.0,0.038128,0.961872,1.401876
ECDFS,y,23.0-23.5,0.029322,0.970678,1.519883
ECDFS,y,23.5-24.0,0.022550,0.977450,1.636952
ECDFS,y,24.0-24.5,0.017342,0.982658,1.753309
ECDFS,y,24.5-25.0,0.013337,0.986663,1.869125
ECDFS,y,25.0-25.5,0.010256,0.989744,1.984527
ECDFS,y,25.5-26.0,0.007888,0.992112,2.099615
COSMOS,y,16.0-16.5,,,
COSMOS,y,16.5-17.0,0.983963,0.016037,-1.787856
COSMOS,y,17.0-17.5,0.774242,0.225758,-0.535235
COSMOS,y,17.5-18.0,0.609221,0.390779,-0.192844
COSMOS,y,18.0-18.5,0.479373,0.520627,0.035854
COSMOS,y,18.5-19.0,0.377200,0.622800,0.217777
COSMOS,y,19.0-19.5,0.296804,0.703196,0.374607
COSMOS,y,19.5-20.0,0.233543,0.766457,0.516120
COSMOS,y,20.0-20.5,0.183766,0.816234,0.647549
COSMOS,y,20.5-21.0,0.144599,0.855401,0.772006
COSMOS,y,21.0-21.5,0.113779,0.886221,0.891480
COSMOS,y,21.5-22.0,0.089528,0.910472,1.007306
COSMOS,y,22.0-22.5,0.070446,0.929554,1.120416
COSMOS,y,22.5-23.0,0.055432,0.944568,1.231477
COSMOS,y,23.0-23.5,0.043617,0.956383,1.340977
COSMOS,y,23.5-24.0,0.034320,0.965680,1.449280
COSMOS,y,24.0-24.5,0.027005,0.972995,1.556659
COSMOS,y,24.5-25.0,0.021250,0.978750,1.663323
COSMOS,y,25.0-25.5,0.016720,0.983280,1.769429
COSMOS,y,25.5-26.0,0.013157,0.986843,1.875102
