tract,patch
4848,60
4848,61
4848,70
4848,71
4848,72
4848,73
4848,80
4848,81
4848,82
4848,83
4848,90
4848,91
4848,92
4848,93
4849,66
4849,67
4849,68
4849,69
4849,75
4849,76
4849,77
4849,78
4849,79
4849,85
4849,86
4849,87
4849,88
4849,89
4849,94
4849,95
4849,96
4849,97
4849,98
4849,99
5063,0
5063,1
5063,2
5063,3
5063,4
5063,5
5063,6
5063,7
5063,8
5063,10
5063,11
5063,12
5063,13
5063,14
5063,15
5063,16
5063,17
5063,18
5063,20
5063,21
5063,22
5063,23
5063,24
5063,25
5063,26
5063,27
5063,28
5063,30
5063,31
5063,32
5063,33
5063,34
5063,35
5063,36
5063,37
5063,38
5063,41
5063,42
5063,43
5063,44
5063,45
5063,46
5063,47
5063,48
5063,53
5063,54
5063,56
5063,57
5064,19
